AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|0.0|0.1|0.1|Malignant|28|42158997|Male|Neuronal/glial, neuronal|2006|0.0|0.1|0.1
0-19|0.4|0.5|0.4|Benign/Borderline|175|42367071|Male|Neuronal/glial, neuronal|2007|0.4|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|29|42367071|Male|Neuronal/glial, neuronal|2007|0.0|0.1|0.1
0-19|0.4|0.5|0.4|Benign/Borderline|179|42541971|Male|Neuronal/glial, neuronal|2008|0.4|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|28|42541971|Male|Neuronal/glial, neuronal|2008|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|160|42609915|Male|Neuronal/glial, neuronal|2009|0.3|0.4|0.4
0-19|0.0|0.1|0.0|Malignant|18|42609915|Male|Neuronal/glial, neuronal|2009|0.0|0.1|0.0
0-19|0.3|0.5|0.4|Benign/Borderline|173|42550328|Male|Neuronal/glial, neuronal|2010|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|42550328|Male|Neuronal/glial, neuronal|2010|~|~|~
0-19|0.4|0.5|0.5|Benign/Borderline|192|42373156|Male|Neuronal/glial, neuronal|2011|0.4|0.5|0.5
0-19|0.0|0.1|0.0|Malignant|+|42373156|Male|Neuronal/glial, neuronal|2011|0.0|0.1|0.0
0-19|0.4|0.6|0.5|Benign/Borderline|207|42186700|Male|Neuronal/glial, neuronal|2012|0.4|0.6|0.5
0-19|0.0|0.1|0.1|Malignant|22|42186700|Male|Neuronal/glial, neuronal|2012|0.0|0.1|0.1
0-19|0.4|0.5|0.5|Benign/Borderline|191|42049482|Male|Neuronal/glial, neuronal|2013|0.4|0.5|0.5
0-19|0.0|0.1|0.1|Malignant|23|42049482|Male|Neuronal/glial, neuronal|2013|0.0|0.1|0.1
0-19|0.4|0.5|0.4|Benign/Borderline|175|41972229|Male|Neuronal/glial, neuronal|2014|0.4|0.5|0.4
0-19|0.1|0.1|0.1|Malignant|31|41972229|Male|Neuronal/glial, neuronal|2014|0.1|0.1|0.1
0-19|0.4|0.6|0.5|Benign/Borderline|217|41955285|Male|Neuronal/glial, neuronal|2015|0.5|0.6|0.5
0-19|0.0|0.1|0.1|Malignant|26|41955285|Male|Neuronal/glial, neuronal|2015|0.0|0.1|0.1
0-19|0.5|0.6|0.5|Benign/Borderline|1091|207542387|Male|Neuronal/glial, neuronal|2015-2019|0.5|0.6|0.5
0-19|0.0|0.1|0.1|Malignant|111|207542387|Male|Neuronal/glial, neuronal|2015-2019|0.0|0.1|0.1
0-19|0.5|0.6|0.5|Benign/Borderline|227|41970804|Male|Neuronal/glial, neuronal|2016|0.5|0.6|0.5
0-19|0.0|0.1|0.1|Malignant|25|41970804|Male|Neuronal/glial, neuronal|2016|0.0|0.1|0.1
0-19|0.5|0.6|0.6|Benign/Borderline|232|41947609|Male|Neuronal/glial, neuronal|2017|0.5|0.6|0.6
0-19|0.0|0.1|0.0|Malignant|17|41947609|Male|Neuronal/glial, neuronal|2017|0.0|0.1|0.0
0-19|0.4|0.6|0.5|Benign/Borderline|205|41477470|Male|Neuronal/glial, neuronal|2018|0.4|0.6|0.5
0-19|0.0|0.1|0.1|Malignant|21|41477470|Male|Neuronal/glial, neuronal|2018|0.0|0.1|0.1
0-19|0.5|0.6|0.5|Benign/Borderline|215|41328224|Male|Neuronal/glial, neuronal|2019|0.5|0.6|0.5
0-19|0.0|0.1|0.1|Malignant|23|41328224|Male|Neuronal/glial, neuronal|2019|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Oligodendroglioma|2004|~|~|~
0-19|0.1|0.1|0.1|Malignant|38|41889233|Male|Oligodendroglioma|2004|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Oligodendroglioma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|29|42006384|Male|Oligodendroglioma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Oligodendroglioma|2006|~|~|~
0-19|0.0|0.1|0.1|Malignant|28|42158997|Male|Oligodendroglioma|2006|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Oligodendroglioma|2007|~|~|~
0-19|0.0|0.1|0.1|Malignant|23|42367071|Male|Oligodendroglioma|2007|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Oligodendroglioma|2008|~|~|~
0-19|0.1|0.1|0.1|Malignant|32|42541971|Male|Oligodendroglioma|2008|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Oligodendroglioma|2009|~|~|~
0-19|0.0|0.1|0.1|Malignant|26|42609915|Male|Oligodendroglioma|2009|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42550328|Male|Oligodendroglioma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|20|42550328|Male|Oligodendroglioma|2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42373156|Male|Oligodendroglioma|2011|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|42373156|Male|Oligodendroglioma|2011|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42186700|Male|Oligodendroglioma|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|25|42186700|Male|Oligodendroglioma|2012|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42049482|Male|Oligodendroglioma|2013|~|~|~
0-19|0.0|0.1|0.0|Malignant|20|42049482|Male|Oligodendroglioma|2013|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41972229|Male|Oligodendroglioma|2014|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|41972229|Male|Oligodendroglioma|2014|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41955285|Male|Oligodendroglioma|2015|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|41955285|Male|Oligodendroglioma|2015|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|207542387|Male|Oligodendroglioma|2015-2019|~|~|~
0-19|0.0|0.0|0.0|Malignant|70|207542387|Male|Oligodendroglioma|2015-2019|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|41970804|Male|Oligodendroglioma|2016|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|41970804|Male|Oligodendroglioma|2016|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41947609|Male|Oligodendroglioma|2017|~|~|~
0-19|~|~|~|Malignant|~|41947609|Male|Oligodendroglioma|2017|~|~|~
0-19|~|~|~|Benign/Borderline|~|41477470|Male|Oligodendroglioma|2018|~|~|~
0-19|~|~|~|Malignant|~|41477470|Male|Oligodendroglioma|2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|41328224|Male|Oligodendroglioma|2019|~|~|~
0-19|~|~|~|Malignant|~|41328224|Male|Oligodendroglioma|2019|~|~|~
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Other mesenchymal|2004|~|~|~
0-19|~|~|~|Malignant|~|41889233|Male|Other mesenchymal|2004|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|22|42006384|Male|Other mesenchymal|2005|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|42006384|Male|Other mesenchymal|2005|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|19|42158997|Male|Other mesenchymal|2006|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|42158997|Male|Other mesenchymal|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Other mesenchymal|2007|~|~|~
0-19|~|~|~|Malignant|~|42367071|Male|Other mesenchymal|2007|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|20|42541971|Male|Other mesenchymal|2008|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|42541971|Male|Other mesenchymal|2008|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|20|42609915|Male|Other mesenchymal|2009|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|42609915|Male|Other mesenchymal|2009|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|26|42550328|Male|Other mesenchymal|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|42550328|Male|Other mesenchymal|2010|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|35|42373156|Male|Other mesenchymal|2011|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|42373156|Male|Other mesenchymal|2011|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|45|42186700|Male|Other mesenchymal|2012|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|42186700|Male|Other mesenchymal|2012|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|35|42049482|Male|Other mesenchymal|2013|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|42049482|Male|Other mesenchymal|2013|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|33|41972229|Male|Other mesenchymal|2014|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|41972229|Male|Other mesenchymal|2014|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|35|41955285|Male|Other mesenchymal|2015|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|41955285|Male|Other mesenchymal|2015|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|204|207542387|Male|Other mesenchymal|2015-2019|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|41|207542387|Male|Other mesenchymal|2015-2019|0.0|0.0|0.0
0-19|0.1|0.2|0.1|Benign/Borderline|50|41970804|Male|Other mesenchymal|2016|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|41970804|Male|Other mesenchymal|2016|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|47|41947609|Male|Other mesenchymal|2017|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|41947609|Male|Other mesenchymal|2017|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|45|41477470|Male|Other mesenchymal|2018|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|41477470|Male|Other mesenchymal|2018|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|27|41328224|Male|Other mesenchymal|2019|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|41328224|Male|Other mesenchymal|2019|~|~|~
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Pilocytic astrocytoma|2004|~|~|~
0-19|0.8|1.0|0.9|Malignant|371|41889233|Male|Pilocytic astrocytoma|2004|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Pilocytic astrocytoma|2005|~|~|~
0-19|0.8|0.9|0.8|Malignant|354|42006384|Male|Pilocytic astrocytoma|2005|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Pilocytic astrocytoma|2006|~|~|~
0-19|0.8|0.9|0.9|Malignant|358|42158997|Male|Pilocytic astrocytoma|2006|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Pilocytic astrocytoma|2007|~|~|~
0-19|0.7|0.9|0.8|Malignant|350|42367071|Male|Pilocytic astrocytoma|2007|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Pilocytic astrocytoma|2008|~|~|~
0-19|0.8|1.0|0.9|Malignant|396|42541971|Male|Pilocytic astrocytoma|2008|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Pilocytic astrocytoma|2009|~|~|~
0-19|0.8|1.0|0.9|Malignant|370|42609915|Male|Pilocytic astrocytoma|2009|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|42550328|Male|Pilocytic astrocytoma|2010|~|~|~
0-19|0.8|1.0|0.9|Malignant|380|42550328|Male|Pilocytic astrocytoma|2010|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|42373156|Male|Pilocytic astrocytoma|2011|~|~|~
0-19|0.9|1.1|1.0|Malignant|405|42373156|Male|Pilocytic astrocytoma|2011|0.9|1.1|1.0
0-19|~|~|~|Benign/Borderline|~|42186700|Male|Pilocytic astrocytoma|2012|~|~|~
0-19|0.9|1.1|1.0|Malignant|429|42186700|Male|Pilocytic astrocytoma|2012|0.9|1.1|1.0
0-19|~|~|~|Benign/Borderline|~|42049482|Male|Pilocytic astrocytoma|2013|~|~|~
0-19|0.9|1.1|1.0|Malignant|435|42049482|Male|Pilocytic astrocytoma|2013|0.9|1.1|1.0
0-19|~|~|~|Benign/Borderline|~|41972229|Male|Pilocytic astrocytoma|2014|~|~|~
0-19|0.8|1.0|0.9|Malignant|382|41972229|Male|Pilocytic astrocytoma|2014|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|41955285|Male|Pilocytic astrocytoma|2015|~|~|~
0-19|0.8|1.0|0.9|Malignant|383|41955285|Male|Pilocytic astrocytoma|2015|0.8|1.0|0.9
0-19|0.1|0.1|0.1|Benign/Borderline|132|207542387|Male|Pilocytic astrocytoma|2015-2019|0.1|0.1|0.1
0-19|0.9|0.9|0.9|Malignant|1874|207542387|Male|Pilocytic astrocytoma|2015-2019|0.9|0.9|0.9
0-19|~|~|~|Benign/Borderline|~|41970804|Male|Pilocytic astrocytoma|2016|~|~|~
0-19|0.8|1.0|0.9|Malignant|383|41970804|Male|Pilocytic astrocytoma|2016|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|41947609|Male|Pilocytic astrocytoma|2017|~|~|~
0-19|1.0|1.2|1.1|Malignant|443|41947609|Male|Pilocytic astrocytoma|2017|1.0|1.2|1.1
0-19|0.1|0.2|0.2|Benign/Borderline|66|41477470|Male|Pilocytic astrocytoma|2018|0.1|0.2|0.2
0-19|0.7|0.9|0.8|Malignant|346|41477470|Male|Pilocytic astrocytoma|2018|0.7|0.9|0.8
0-19|0.1|0.2|0.2|Benign/Borderline|66|41328224|Male|Pilocytic astrocytoma|2019|0.1|0.2|0.2
0-19|0.7|0.9|0.8|Malignant|326|41328224|Male|Pilocytic astrocytoma|2019|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Pineal parenchymal|2004|~|~|~
0-19|0.0|0.1|0.0|Malignant|+|41889233|Male|Pineal parenchymal|2004|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Pineal parenchymal|2005|~|~|~
0-19|~|~|~|Malignant|~|42006384|Male|Pineal parenchymal|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Pineal parenchymal|2006|~|~|~
0-19|~|~|~|Malignant|~|42158997|Male|Pineal parenchymal|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Pineal parenchymal|2007|~|~|~
0-19|0.0|0.1|0.0|Malignant|+|42367071|Male|Pineal parenchymal|2007|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Pineal parenchymal|2008|~|~|~
0-19|0.0|0.1|0.0|Malignant|16|42541971|Male|Pineal parenchymal|2008|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Pineal parenchymal|2009|~|~|~
0-19|~|~|~|Malignant|~|42609915|Male|Pineal parenchymal|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|42550328|Male|Pineal parenchymal|2010|~|~|~
0-19|~|~|~|Malignant|~|42550328|Male|Pineal parenchymal|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|42373156|Male|Pineal parenchymal|2011|~|~|~
0-19|0.0|0.1|0.0|Malignant|+|42373156|Male|Pineal parenchymal|2011|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42186700|Male|Pineal parenchymal|2012|~|~|~
0-19|0.0|0.1|0.0|Malignant|+|42186700|Male|Pineal parenchymal|2012|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42049482|Male|Pineal parenchymal|2013|~|~|~
0-19|0.0|0.1|0.0|Malignant|+|42049482|Male|Pineal parenchymal|2013|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41972229|Male|Pineal parenchymal|2014|~|~|~
0-19|0.0|0.1|0.1|Malignant|23|41972229|Male|Pineal parenchymal|2014|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|41955285|Male|Pineal parenchymal|2015|~|~|~
0-19|0.0|0.1|0.0|Malignant|19|41955285|Male|Pineal parenchymal|2015|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|207542387|Male|Pineal parenchymal|2015-2019|~|~|~
0-19|0.0|0.1|0.0|Malignant|86|207542387|Male|Pineal parenchymal|2015-2019|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41970804|Male|Pineal parenchymal|2016|~|~|~
0-19|0.0|0.1|0.1|Malignant|+|41970804|Male|Pineal parenchymal|2016|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|41947609|Male|Pineal parenchymal|2017|~|~|~
0-19|~|~|~|Malignant|~|41947609|Male|Pineal parenchymal|2017|~|~|~
0-19|~|~|~|Benign/Borderline|~|41477470|Male|Pineal parenchymal|2018|~|~|~
0-19|~|~|~|Malignant|~|41477470|Male|Pineal parenchymal|2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|41328224|Male|Pineal parenchymal|2019|~|~|~
0-19|0.0|0.1|0.0|Malignant|16|41328224|Male|Pineal parenchymal|2019|0.0|0.1|0.0
0-19|0.2|0.2|0.2|Benign/Borderline|85|41889233|Male|Pituitary|2004|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|41889233|Male|Pituitary|2004|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|124|42006384|Male|Pituitary|2005|0.2|0.4|0.3
0-19|~|~|~|Malignant|~|42006384|Male|Pituitary|2005|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|97|42158997|Male|Pituitary|2006|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|42158997|Male|Pituitary|2006|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|116|42367071|Male|Pituitary|2007|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|42367071|Male|Pituitary|2007|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|135|42541971|Male|Pituitary|2008|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42541971|Male|Pituitary|2008|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|158|42609915|Male|Pituitary|2009|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42609915|Male|Pituitary|2009|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|142|42550328|Male|Pituitary|2010|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42550328|Male|Pituitary|2010|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|150|42373156|Male|Pituitary|2011|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42373156|Male|Pituitary|2011|~|~|~
0-19|0.4|0.5|0.4|Benign/Borderline|178|42186700|Male|Pituitary|2012|0.4|0.5|0.4
0-19|~|~|~|Malignant|~|42186700|Male|Pituitary|2012|~|~|~
0-19|0.4|0.5|0.4|Benign/Borderline|177|42049482|Male|Pituitary|2013|0.4|0.5|0.4
0-19|~|~|~|Malignant|~|42049482|Male|Pituitary|2013|~|~|~
0-19|0.4|0.5|0.5|Benign/Borderline|198|41972229|Male|Pituitary|2014|0.4|0.5|0.5
0-19|~|~|~|Malignant|~|41972229|Male|Pituitary|2014|~|~|~
0-19|0.3|0.5|0.4|Benign/Borderline|166|41955285|Male|Pituitary|2015|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|41955285|Male|Pituitary|2015|~|~|~
0-19|0.4|0.5|0.5|Benign/Borderline|950|207542387|Male|Pituitary|2015-2019|0.4|0.5|0.5
0-19|~|~|~|Malignant|~|207542387|Male|Pituitary|2015-2019|~|~|~
0-19|0.4|0.5|0.5|Benign/Borderline|201|41970804|Male|Pituitary|2016|0.4|0.5|0.5
0-19|~|~|~|Malignant|~|41970804|Male|Pituitary|2016|~|~|~
0-19|0.5|0.6|0.5|Benign/Borderline|225|41947609|Male|Pituitary|2017|0.5|0.6|0.5
0-19|~|~|~|Malignant|~|41947609|Male|Pituitary|2017|~|~|~
0-19|0.4|0.5|0.4|Benign/Borderline|181|41477470|Male|Pituitary|2018|0.4|0.5|0.4
0-19|~|~|~|Malignant|~|41477470|Male|Pituitary|2018|~|~|~
0-19|0.4|0.5|0.4|Benign/Borderline|181|41328224|Male|Pituitary|2019|0.4|0.5|0.4
0-19|~|~|~|Malignant|~|41328224|Male|Pituitary|2019|~|~|~
0-19|1.5|1.8|1.6|Benign/Borderline|688|41889233|Male|Total|2004|1.5|1.8|1.6
0-19|3.4|3.8|3.6|Malignant|1505|41889233|Male|Total|2004|3.4|3.8|3.6
0-19|1.7|2.0|1.9|Benign/Borderline|791|42006384|Male|Total|2005|1.8|2.0|1.9
0-19|3.3|3.6|3.4|Malignant|1434|42006384|Male|Total|2005|3.2|3.6|3.4
0-19|1.8|2.1|1.9|Benign/Borderline|818|42158997|Male|Total|2006|1.8|2.1|1.9
0-19|3.4|3.8|3.6|Malignant|1512|42158997|Male|Total|2006|3.4|3.8|3.6
0-19|1.9|2.2|2.0|Benign/Borderline|860|42367071|Male|Total|2007|1.9|2.2|2.0
0-19|3.4|3.8|3.6|Malignant|1526|42367071|Male|Total|2007|3.4|3.8|3.6
0-19|1.9|2.2|2.0|Benign/Borderline|872|42541971|Male|Total|2008|1.9|2.2|2.0
0-19|3.6|4.0|3.8|Malignant|1608|42541971|Male|Total|2008|3.6|4.0|3.8
0-19|2.1|2.4|2.2|Benign/Borderline|949|42609915|Male|Total|2009|2.1|2.4|2.2
0-19|3.5|3.9|3.7|Malignant|1562|42609915|Male|Total|2009|3.5|3.9|3.7
0-19|2.0|2.3|2.1|Benign/Borderline|910|42550328|Male|Total|2010|2.0|2.3|2.1
0-19|3.6|4.0|3.8|Malignant|1611|42550328|Male|Total|2010|3.6|4.0|3.8
0-19|2.1|2.4|2.3|Benign/Borderline|972|42373156|Male|Total|2011|2.2|2.4|2.3
0-19|3.6|4.0|3.8|Malignant|1605|42373156|Male|Total|2011|3.6|4.0|3.8
0-19|2.3|2.6|2.4|Benign/Borderline|1021|42186700|Male|Total|2012|2.3|2.6|2.4
0-19|3.7|4.1|3.9|Malignant|1627|42186700|Male|Total|2012|3.7|4.0|3.9
0-19|2.2|2.5|2.4|Benign/Borderline|1007|42049482|Male|Total|2013|2.2|2.5|2.4
0-19|3.6|4.0|3.8|Malignant|1604|42049482|Male|Total|2013|3.6|4.0|3.8
0-19|2.3|2.6|2.4|Benign/Borderline|1023|41972229|Male|Total|2014|2.3|2.6|2.4
0-19|3.6|3.9|3.7|Malignant|1569|41972229|Male|Total|2014|3.6|3.9|3.7
0-19|2.2|2.5|2.4|Benign/Borderline|1002|41955285|Male|Total|2015|2.2|2.5|2.4
0-19|3.6|4.0|3.8|Malignant|1606|41955285|Male|Total|2015|3.6|4.0|3.8
0-19|2.4|2.6|2.5|Benign/Borderline|5188|207542387|Male|Total|2015-2019|2.4|2.6|2.5
0-19|3.4|3.6|3.5|Malignant|7294|207542387|Male|Total|2015-2019|3.4|3.6|3.5
0-19|2.5|2.8|2.7|Benign/Borderline|1116|41970804|Male|Total|2016|2.5|2.8|2.7
0-19|3.5|3.9|3.7|Malignant|1564|41970804|Male|Total|2016|3.5|3.9|3.7
0-19|2.4|2.7|2.5|Benign/Borderline|1068|41947609|Male|Total|2017|2.4|2.7|2.5
0-19|3.8|4.2|4.0|Malignant|1672|41947609|Male|Total|2017|3.8|4.2|4.0
0-19|2.4|2.7|2.6|Benign/Borderline|1075|41477470|Male|Total|2018|2.4|2.8|2.6
0-19|2.9|3.3|3.1|Malignant|1283|41477470|Male|Total|2018|2.9|3.3|3.1
0-19|2.1|2.4|2.3|Benign/Borderline|943|41328224|Male|Total|2019|2.1|2.4|2.3
0-19|2.8|3.1|2.9|Malignant|1216|41328224|Male|Total|2019|2.8|3.1|2.9
0-19|0.3|0.4|0.3|Benign/Borderline|126|41889233|Male|Tumors of Cranial and Spinal Nerves|2004|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|41889233|Male|Tumors of Cranial and Spinal Nerves|2004|~|~|~
0-19|0.2|0.4|0.3|Benign/Borderline|124|42006384|Male|Tumors of Cranial and Spinal Nerves|2005|0.2|0.4|0.3
0-19|~|~|~|Malignant|~|42006384|Male|Tumors of Cranial and Spinal Nerves|2005|~|~|~
0-19|0.4|0.5|0.4|Benign/Borderline|175|42158997|Male|Tumors of Cranial and Spinal Nerves|2006|0.4|0.5|0.4
0-19|~|~|~|Malignant|~|42158997|Male|Tumors of Cranial and Spinal Nerves|2006|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|163|42367071|Male|Tumors of Cranial and Spinal Nerves|2007|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42367071|Male|Tumors of Cranial and Spinal Nerves|2007|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|149|42541971|Male|Tumors of Cranial and Spinal Nerves|2008|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42541971|Male|Tumors of Cranial and Spinal Nerves|2008|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|156|42609915|Male|Tumors of Cranial and Spinal Nerves|2009|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42609915|Male|Tumors of Cranial and Spinal Nerves|2009|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|142|42550328|Male|Tumors of Cranial and Spinal Nerves|2010|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42550328|Male|Tumors of Cranial and Spinal Nerves|2010|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|152|42373156|Male|Tumors of Cranial and Spinal Nerves|2011|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42373156|Male|Tumors of Cranial and Spinal Nerves|2011|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|157|42186700|Male|Tumors of Cranial and Spinal Nerves|2012|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42186700|Male|Tumors of Cranial and Spinal Nerves|2012|~|~|~
0-19|0.3|0.5|0.4|Benign/Borderline|165|42049482|Male|Tumors of Cranial and Spinal Nerves|2013|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|42049482|Male|Tumors of Cranial and Spinal Nerves|2013|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|153|41972229|Male|Tumors of Cranial and Spinal Nerves|2014|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|41972229|Male|Tumors of Cranial and Spinal Nerves|2014|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|152|41955285|Male|Tumors of Cranial and Spinal Nerves|2015|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|41955285|Male|Tumors of Cranial and Spinal Nerves|2015|~|~|~
0-19|0.3|0.3|0.3|Benign/Borderline|629|207542387|Male|Tumors of Cranial and Spinal Nerves|2015-2019|0.3|0.3|0.3
0-19|~|~|~|Malignant|~|207542387|Male|Tumors of Cranial and Spinal Nerves|2015-2019|~|~|~
0-19|0.4|0.5|0.4|Benign/Borderline|181|41970804|Male|Tumors of Cranial and Spinal Nerves|2016|0.4|0.5|0.4
0-19|~|~|~|Malignant|~|41970804|Male|Tumors of Cranial and Spinal Nerves|2016|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|114|41947609|Male|Tumors of Cranial and Spinal Nerves|2017|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|41947609|Male|Tumors of Cranial and Spinal Nerves|2017|~|~|~
