AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
7.9|9.4|8.6|534|VI(a) Nephroblastoma and other nonepithelial renal tumors|61176726|0-14|All Races|Male and Female|2011|||
0.2|0.5|0.4|22|VI(b) Renal carcinomas|61176726|0-14|All Races|Male and Female|2011|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61176726|0-14|All Races|Male and Female|2011|||
2.7|3.6|3.2|196|VII Hepatic tumors|61176726|0-14|All Races|Male and Female|2011|||
2.3|3.1|2.7|167|VII(a) Hepatoblastoma|61176726|0-14|All Races|Male and Female|2011|||
0.3|0.6|0.4|25|VII(b) Hepatic carcinomas|61176726|0-14|All Races|Male and Female|2011|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61176726|0-14|All Races|Male and Female|2011|||
6.7|8.1|7.4|451|VIII Malignant bone tumors|61176726|0-14|All Races|Male and Female|2011|||
3.6|4.7|4.1|250|VIII(a) Osteosarcomas|61176726|0-14|All Races|Male and Female|2011|||
~|~|~|~|VIII(b) Chondrosarcomas|61176726|0-14|All Races|Male and Female|2011|||
2.4|3.3|2.8|171|VIII(c) Ewing tumor and related sarcomas of bone|61176726|0-14|All Races|Male and Female|2011|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|61176726|0-14|All Races|Male and Female|2011|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61176726|0-14|All Races|Male and Female|2011|||
4.6|5.7|5.1|314|X Germ cell, trophoblastic tumors & neoplasms of gonads|61176726|0-14|All Races|Male and Female|2011|||
1.2|1.9|1.5|93|X(a) Intracranial & intraspinal germ cell tumors|61176726|0-14|All Races|Male and Female|2011|||
1.0|1.5|1.2|75|X(b) Malignant extracranial & extragonadal germ cell tumors|61176726|0-14|All Races|Male and Female|2011|||
1.8|2.6|2.2|132|X(c) Malignant gonadal germ cell tumors|61176726|0-14|All Races|Male and Female|2011|||
~|~|~|~|X(d) Gonadal carcinomas|61176726|0-14|All Races|Male and Female|2011|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|61176726|0-14|All Races|Male and Female|2011|||
7.1|8.5|7.7|471|XI Other malignant epithelial neoplasms and malignant melanomas|61176726|0-14|All Races|Male and Female|2011|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61176726|0-14|All Races|Male and Female|2011|||
2.9|3.8|3.3|203|XI(b) Thyroid carcinomas|61176726|0-14|All Races|Male and Female|2011|||
0.2|0.5|0.3|19|XI(c) Nasopharyngeal carcinomas|61176726|0-14|All Races|Male and Female|2011|||
1.7|2.4|2.1|125|XI(d) Malignant melanomas|61176726|0-14|All Races|Male and Female|2011|||
~|~|~|~|XI(e) Skin carcinomas|61176726|0-14|All Races|Male and Female|2011|||
1.4|2.1|1.8|107|XI(f) Other and unspecified carcinomas|61176726|0-14|All Races|Male and Female|2011|||
0.5|0.9|0.6|39|XII Other and unspecified malignant neoplasms|61176726|0-14|All Races|Male and Female|2011|||
0.2|0.4|0.3|17|XII(a) Other specified malignant tumors|61176726|0-14|All Races|Male and Female|2011|||
0.2|0.5|0.4|22|XII(b) Other unspecified malignant tumors|61176726|0-14|All Races|Male and Female|2011|||
166.9|173.4|170.1|10430|All ICCC Groups Combined|61127458|0-14|All Races|Male and Female|2012|||
50.8|54.4|52.6|3231|I Leukemias, myeloproliferative & myelodysplastic diseases|61127458|0-14|All Races|Male and Female|2012|||
38.8|41.9|40.3|2480|I(a) Lymphoid leukemias|61127458|0-14|All Races|Male and Female|2012|||
6.5|7.9|7.2|439|I(b) Acute myeloid leukemias|61127458|0-14|All Races|Male and Female|2012|||
1.4|2.1|1.7|104|I(c) Chronic myeloproliferative diseases|61127458|0-14|All Races|Male and Female|2012|||
1.4|2.0|1.7|102|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61127458|0-14|All Races|Male and Female|2012|||
1.4|2.1|1.7|106|I(e) Unspecified and other specified leukemias|61127458|0-14|All Races|Male and Female|2012|||
20.6|23.0|21.8|1330|II Lymphomas and reticuloendothelial neoplasms|61127458|0-14|All Races|Male and Female|2012|||
5.2|6.4|5.8|351|II(a) Hodgkin lymphomas|61127458|0-14|All Races|Male and Female|2012|||
6.8|8.2|7.5|456|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61127458|0-14|All Races|Male and Female|2012|||
2.0|2.8|2.3|143|II(c) Burkitt lymphoma|61127458|0-14|All Races|Male and Female|2012|||
5.2|6.4|5.8|356|II(d) Miscellaneous lymphoreticular neoplasms|61127458|0-14|All Races|Male and Female|2012|||
0.3|0.6|0.4|24|II(e) Unspecified lymphomas|61127458|0-14|All Races|Male and Female|2012|||
34.1|37.1|35.6|2180|III CNS and misc intracranial and intraspinal neoplasms|61127458|0-14|All Races|Male and Female|2012|||
2.5|3.4|2.9|181|III(a) Ependymomas and choroid plexus tumor|61127458|0-14|All Races|Male and Female|2012|||
17.8|20.0|18.9|1157|III(b) Astrocytomas|61127458|0-14|All Races|Male and Female|2012|||
6.5|7.8|7.1|438|III(c) Intracranial and intraspinal embryonal tumors|61127458|0-14|All Races|Male and Female|2012|||
4.7|5.9|5.3|322|III(d) Other gliomas|61127458|0-14|All Races|Male and Female|2012|||
0.4|0.8|0.6|37|III(e) Other specified intracranial & intraspinal neoplasms|61127458|0-14|All Races|Male and Female|2012|||
0.5|1.0|0.7|45|III(f) Unspecified intracranial and intraspinal neoplasms|61127458|0-14|All Races|Male and Female|2012|||
10.7|12.4|11.5|709|IV Neuroblastoma and other peripheral nervous cell tumors|61127458|0-14|All Races|Male and Female|2012|||
10.4|12.1|11.3|695|IV(a) Neuroblastoma and ganglioneuroblastoma|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61127458|0-14|All Races|Male and Female|2012|||
10.3|12.0|11.1|681|IX Soft tissue and other extraosseous sarcomas|61127458|0-14|All Races|Male and Female|2012|||
4.5|5.6|5.0|309|IX(a) Rhabdomyosarcomas|61127458|0-14|All Races|Male and Female|2012|||
0.9|1.5|1.2|72|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|IX(c) Kaposi sarcoma|61127458|0-14|All Races|Male and Female|2012|||
3.2|4.2|3.7|223|IX(d) Other specified soft tissue sarcomas|61127458|0-14|All Races|Male and Female|2012|||
1.0|1.5|1.2|75|IX(e) Unspecified soft tissue sarcomas|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|Not classified by ICCC|61127458|0-14|All Races|Male and Female|2012|||
3.9|5.0|4.4|272|V Retinoblastoma|61127458|0-14|All Races|Male and Female|2012|||
7.9|9.4|8.6|531|VI Renal tumors|61127458|0-14|All Races|Male and Female|2012|||
7.5|8.9|8.2|506|VI(a) Nephroblastoma and other nonepithelial renal tumors|61127458|0-14|All Races|Male and Female|2012|||
0.2|0.5|0.3|20|VI(b) Renal carcinomas|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61127458|0-14|All Races|Male and Female|2012|||
2.9|3.8|3.3|204|VII Hepatic tumors|61127458|0-14|All Races|Male and Female|2012|||
2.4|3.3|2.8|174|VII(a) Hepatoblastoma|61127458|0-14|All Races|Male and Female|2012|||
0.3|0.7|0.5|28|VII(b) Hepatic carcinomas|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61127458|0-14|All Races|Male and Female|2012|||
6.7|8.0|7.3|445|VIII Malignant bone tumors|61127458|0-14|All Races|Male and Female|2012|||
3.9|5.0|4.4|269|VIII(a) Osteosarcomas|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|VIII(b) Chondrosarcomas|61127458|0-14|All Races|Male and Female|2012|||
1.9|2.6|2.2|136|VIII(c) Ewing tumor and related sarcomas of bone|61127458|0-14|All Races|Male and Female|2012|||
0.2|0.5|0.3|20|VIII(d) Other specified malignant bone tumors|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61127458|0-14|All Races|Male and Female|2012|||
4.6|5.8|5.2|317|X Germ cell, trophoblastic tumors & neoplasms of gonads|61127458|0-14|All Races|Male and Female|2012|||
1.1|1.7|1.4|84|X(a) Intracranial & intraspinal germ cell tumors|61127458|0-14|All Races|Male and Female|2012|||
1.2|1.9|1.5|93|X(b) Malignant extracranial & extragonadal germ cell tumors|61127458|0-14|All Races|Male and Female|2012|||
1.7|2.5|2.1|126|X(c) Malignant gonadal germ cell tumors|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|X(d) Gonadal carcinomas|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|61127458|0-14|All Races|Male and Female|2012|||
7.0|8.4|7.7|466|XI Other malignant epithelial neoplasms and malignant melanomas|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61127458|0-14|All Races|Male and Female|2012|||
2.8|3.8|3.3|199|XI(b) Thyroid carcinomas|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|XI(c) Nasopharyngeal carcinomas|61127458|0-14|All Races|Male and Female|2012|||
1.6|2.3|1.9|117|XI(d) Malignant melanomas|61127458|0-14|All Races|Male and Female|2012|||
~|~|~|~|XI(e) Skin carcinomas|61127458|0-14|All Races|Male and Female|2012|||
1.6|2.3|2.0|119|XI(f) Other and unspecified carcinomas|61127458|0-14|All Races|Male and Female|2012|||
0.6|1.1|0.8|52|XII Other and unspecified malignant neoplasms|61127458|0-14|All Races|Male and Female|2012|||
0.3|0.6|0.4|25|XII(a) Other specified malignant tumors|61127458|0-14|All Races|Male and Female|2012|||
0.3|0.6|0.4|27|XII(b) Other unspecified malignant tumors|61127458|0-14|All Races|Male and Female|2012|||
169.5|176.1|172.8|10571|All ICCC Groups Combined|61087762|0-14|All Races|Male and Female|2013|||
49.5|53.1|51.3|3143|I Leukemias, myeloproliferative & myelodysplastic diseases|61087762|0-14|All Races|Male and Female|2013|||
36.6|39.7|38.1|2337|I(a) Lymphoid leukemias|61087762|0-14|All Races|Male and Female|2013|||
7.2|8.6|7.9|481|I(b) Acute myeloid leukemias|61087762|0-14|All Races|Male and Female|2013|||
1.3|2.0|1.7|101|I(c) Chronic myeloproliferative diseases|61087762|0-14|All Races|Male and Female|2013|||
1.2|1.8|1.5|92|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61087762|0-14|All Races|Male and Female|2013|||
1.8|2.6|2.2|132|I(e) Unspecified and other specified leukemias|61087762|0-14|All Races|Male and Female|2013|||
20.7|23.0|21.8|1331|II Lymphomas and reticuloendothelial neoplasms|61087762|0-14|All Races|Male and Female|2013|||
5.0|6.2|5.5|337|II(a) Hodgkin lymphomas|61087762|0-14|All Races|Male and Female|2013|||
6.7|8.1|7.3|448|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61087762|0-14|All Races|Male and Female|2013|||
2.0|2.7|2.3|142|II(c) Burkitt lymphoma|61087762|0-14|All Races|Male and Female|2013|||
5.8|7.0|6.4|390|II(d) Miscellaneous lymphoreticular neoplasms|61087762|0-14|All Races|Male and Female|2013|||
~|~|~|~|II(e) Unspecified lymphomas|61087762|0-14|All Races|Male and Female|2013|||
35.5|38.6|37.1|2266|III CNS and misc intracranial and intraspinal neoplasms|61087762|0-14|All Races|Male and Female|2013|||
2.7|3.6|3.2|194|III(a) Ependymomas and choroid plexus tumor|61087762|0-14|All Races|Male and Female|2013|||
18.5|20.7|19.6|1196|III(b) Astrocytomas|61087762|0-14|All Races|Male and Female|2013|||
6.3|7.6|6.9|422|III(c) Intracranial and intraspinal embryonal tumors|61087762|0-14|All Races|Male and Female|2013|||
5.6|6.9|6.2|380|III(d) Other gliomas|61087762|0-14|All Races|Male and Female|2013|||
0.5|1.0|0.7|45|III(e) Other specified intracranial & intraspinal neoplasms|61087762|0-14|All Races|Male and Female|2013|||
0.3|0.7|0.5|29|III(f) Unspecified intracranial and intraspinal neoplasms|61087762|0-14|All Races|Male and Female|2013|||
11.4|13.1|12.2|751|IV Neuroblastoma and other peripheral nervous cell tumors|61087762|0-14|All Races|Male and Female|2013|||
11.1|12.8|11.9|731|IV(a) Neuroblastoma and ganglioneuroblastoma|61087762|0-14|All Races|Male and Female|2013|||
0.2|0.5|0.3|20|IV(b) Other peripheral nervous cell tumors|61087762|0-14|All Races|Male and Female|2013|||
10.4|12.0|11.2|683|IX Soft tissue and other extraosseous sarcomas|61087762|0-14|All Races|Male and Female|2013|||
4.7|5.9|5.3|322|IX(a) Rhabdomyosarcomas|61087762|0-14|All Races|Male and Female|2013|||
0.9|1.5|1.2|73|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61087762|0-14|All Races|Male and Female|2013|||
~|~|~|~|IX(c) Kaposi sarcoma|61087762|0-14|All Races|Male and Female|2013|||
3.2|4.2|3.7|226|IX(d) Other specified soft tissue sarcomas|61087762|0-14|All Races|Male and Female|2013|||
0.8|1.3|1.0|61|IX(e) Unspecified soft tissue sarcomas|61087762|0-14|All Races|Male and Female|2013|||
0.1|0.4|0.3|16|Not classified by ICCC|61087762|0-14|All Races|Male and Female|2013|||
3.9|4.9|4.4|269|V Retinoblastoma|61087762|0-14|All Races|Male and Female|2013|||
8.2|9.8|9.0|552|VI Renal tumors|61087762|0-14|All Races|Male and Female|2013|||
7.8|9.3|8.5|525|VI(a) Nephroblastoma and other nonepithelial renal tumors|61087762|0-14|All Races|Male and Female|2013|||
0.3|0.6|0.4|24|VI(b) Renal carcinomas|61087762|0-14|All Races|Male and Female|2013|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61087762|0-14|All Races|Male and Female|2013|||
2.5|3.4|2.9|179|VII Hepatic tumors|61087762|0-14|All Races|Male and Female|2013|||
2.1|2.9|2.5|151|VII(a) Hepatoblastoma|61087762|0-14|All Races|Male and Female|2013|||
0.3|0.6|0.4|26|VII(b) Hepatic carcinomas|61087762|0-14|All Races|Male and Female|2013|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61087762|0-14|All Races|Male and Female|2013|||
6.7|8.1|7.4|450|VIII Malignant bone tumors|61087762|0-14|All Races|Male and Female|2013|||
3.3|4.3|3.8|230|VIII(a) Osteosarcomas|61087762|0-14|All Races|Male and Female|2013|||
~|~|~|~|VIII(b) Chondrosarcomas|61087762|0-14|All Races|Male and Female|2013|||
2.5|3.3|2.9|175|VIII(c) Ewing tumor and related sarcomas of bone|61087762|0-14|All Races|Male and Female|2013|||
0.3|0.6|0.4|27|VIII(d) Other specified malignant bone tumors|61087762|0-14|All Races|Male and Female|2013|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61087762|0-14|All Races|Male and Female|2013|||
5.2|6.4|5.8|354|X Germ cell, trophoblastic tumors & neoplasms of gonads|61087762|0-14|All Races|Male and Female|2013|||
1.4|2.1|1.7|104|X(a) Intracranial & intraspinal germ cell tumors|61087762|0-14|All Races|Male and Female|2013|||
1.1|1.6|1.3|81|X(b) Malignant extracranial & extragonadal germ cell tumors|61087762|0-14|All Races|Male and Female|2013|||
2.1|2.9|2.4|148|X(c) Malignant gonadal germ cell tumors|61087762|0-14|All Races|Male and Female|2013|||
~|~|~|~|X(d) Gonadal carcinomas|61087762|0-14|All Races|Male and Female|2013|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|61087762|0-14|All Races|Male and Female|2013|||
8.1|9.6|8.8|537|XI Other malignant epithelial neoplasms and malignant melanomas|61087762|0-14|All Races|Male and Female|2013|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61087762|0-14|All Races|Male and Female|2013|||
3.1|4.1|3.6|219|XI(b) Thyroid carcinomas|61087762|0-14|All Races|Male and Female|2013|||
0.2|0.5|0.4|22|XI(c) Nasopharyngeal carcinomas|61087762|0-14|All Races|Male and Female|2013|||
1.8|2.5|2.1|130|XI(d) Malignant melanomas|61087762|0-14|All Races|Male and Female|2013|||
~|~|~|~|XI(e) Skin carcinomas|61087762|0-14|All Races|Male and Female|2013|||
2.1|2.9|2.5|153|XI(f) Other and unspecified carcinomas|61087762|0-14|All Races|Male and Female|2013|||
0.5|0.9|0.7|40|XII Other and unspecified malignant neoplasms|61087762|0-14|All Races|Male and Female|2013|||
0.3|0.6|0.4|24|XII(a) Other specified malignant tumors|61087762|0-14|All Races|Male and Female|2013|||
0.1|0.4|0.3|16|XII(b) Other unspecified malignant tumors|61087762|0-14|All Races|Male and Female|2013|||
173.2|179.9|176.5|10802|All ICCC Groups Combined|61078836|0-14|All Races|Male and Female|2014|||
50.5|54.2|52.3|3206|I Leukemias, myeloproliferative & myelodysplastic diseases|61078836|0-14|All Races|Male and Female|2014|||
37.6|40.7|39.1|2398|I(a) Lymphoid leukemias|61078836|0-14|All Races|Male and Female|2014|||
7.2|8.7|7.9|486|I(b) Acute myeloid leukemias|61078836|0-14|All Races|Male and Female|2014|||
1.3|1.9|1.6|97|I(c) Chronic myeloproliferative diseases|61078836|0-14|All Races|Male and Female|2014|||
1.3|2.0|1.6|100|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61078836|0-14|All Races|Male and Female|2014|||
1.7|2.4|2.0|125|I(e) Unspecified and other specified leukemias|61078836|0-14|All Races|Male and Female|2014|||
22.4|24.8|23.6|1438|II Lymphomas and reticuloendothelial neoplasms|61078836|0-14|All Races|Male and Female|2014|||
5.0|6.2|5.5|337|II(a) Hodgkin lymphomas|61078836|0-14|All Races|Male and Female|2014|||
7.7|9.2|8.4|514|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61078836|0-14|All Races|Male and Female|2014|||
2.4|3.2|2.8|170|II(c) Burkitt lymphoma|61078836|0-14|All Races|Male and Female|2014|||
5.9|7.2|6.5|399|II(d) Miscellaneous lymphoreticular neoplasms|61078836|0-14|All Races|Male and Female|2014|||
0.2|0.5|0.3|18|II(e) Unspecified lymphomas|61078836|0-14|All Races|Male and Female|2014|||
35.3|38.4|36.8|2253|III CNS and misc intracranial and intraspinal neoplasms|61078836|0-14|All Races|Male and Female|2014|||
2.8|3.7|3.3|200|III(a) Ependymomas and choroid plexus tumor|61078836|0-14|All Races|Male and Female|2014|||
17.9|20.1|19.0|1161|III(b) Astrocytomas|61078836|0-14|All Races|Male and Female|2014|||
6.7|8.1|7.4|453|III(c) Intracranial and intraspinal embryonal tumors|61078836|0-14|All Races|Male and Female|2014|||
5.2|6.4|5.8|352|III(d) Other gliomas|61078836|0-14|All Races|Male and Female|2014|||
0.6|1.1|0.8|51|III(e) Other specified intracranial & intraspinal neoplasms|61078836|0-14|All Races|Male and Female|2014|||
0.4|0.8|0.6|36|III(f) Unspecified intracranial and intraspinal neoplasms|61078836|0-14|All Races|Male and Female|2014|||
11.1|12.9|12.0|735|IV Neuroblastoma and other peripheral nervous cell tumors|61078836|0-14|All Races|Male and Female|2014|||
10.9|12.6|11.7|722|IV(a) Neuroblastoma and ganglioneuroblastoma|61078836|0-14|All Races|Male and Female|2014|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61078836|0-14|All Races|Male and Female|2014|||
10.4|12.1|11.3|689|IX Soft tissue and other extraosseous sarcomas|61078836|0-14|All Races|Male and Female|2014|||
4.4|5.5|4.9|302|IX(a) Rhabdomyosarcomas|61078836|0-14|All Races|Male and Female|2014|||
1.0|1.5|1.2|75|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61078836|0-14|All Races|Male and Female|2014|||
~|~|~|~|IX(c) Kaposi sarcoma|61078836|0-14|All Races|Male and Female|2014|||
3.4|4.4|3.9|237|IX(d) Other specified soft tissue sarcomas|61078836|0-14|All Races|Male and Female|2014|||
1.0|1.5|1.2|74|IX(e) Unspecified soft tissue sarcomas|61078836|0-14|All Races|Male and Female|2014|||
0.2|0.5|0.3|20|Not classified by ICCC|61078836|0-14|All Races|Male and Female|2014|||
3.8|4.9|4.3|268|V Retinoblastoma|61078836|0-14|All Races|Male and Female|2014|||
8.4|10.0|9.2|563|VI Renal tumors|61078836|0-14|All Races|Male and Female|2014|||
8.0|9.5|8.7|535|VI(a) Nephroblastoma and other nonepithelial renal tumors|61078836|0-14|All Races|Male and Female|2014|||
0.3|0.6|0.4|26|VI(b) Renal carcinomas|61078836|0-14|All Races|Male and Female|2014|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61078836|0-14|All Races|Male and Female|2014|||
2.6|3.5|3.0|187|VII Hepatic tumors|61078836|0-14|All Races|Male and Female|2014|||
2.2|3.1|2.6|161|VII(a) Hepatoblastoma|61078836|0-14|All Races|Male and Female|2014|||
0.3|0.6|0.4|26|VII(b) Hepatic carcinomas|61078836|0-14|All Races|Male and Female|2014|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61078836|0-14|All Races|Male and Female|2014|||
7.2|8.7|7.9|483|VIII Malignant bone tumors|61078836|0-14|All Races|Male and Female|2014|||
3.9|5.0|4.4|267|VIII(a) Osteosarcomas|61078836|0-14|All Races|Male and Female|2014|||
~|~|~|~|VIII(b) Chondrosarcomas|61078836|0-14|All Races|Male and Female|2014|||
2.3|3.2|2.7|166|VIII(c) Ewing tumor and related sarcomas of bone|61078836|0-14|All Races|Male and Female|2014|||
0.3|0.7|0.5|29|VIII(d) Other specified malignant bone tumors|61078836|0-14|All Races|Male and Female|2014|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61078836|0-14|All Races|Male and Female|2014|||
5.2|6.4|5.7|351|X Germ cell, trophoblastic tumors & neoplasms of gonads|61078836|0-14|All Races|Male and Female|2014|||
1.2|1.8|1.5|90|X(a) Intracranial & intraspinal germ cell tumors|61078836|0-14|All Races|Male and Female|2014|||
1.3|2.0|1.6|101|X(b) Malignant extracranial & extragonadal germ cell tumors|61078836|0-14|All Races|Male and Female|2014|||
1.9|2.7|2.3|139|X(c) Malignant gonadal germ cell tumors|61078836|0-14|All Races|Male and Female|2014|||
~|~|~|~|X(d) Gonadal carcinomas|61078836|0-14|All Races|Male and Female|2014|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|61078836|0-14|All Races|Male and Female|2014|||
8.6|10.2|9.4|570|XI Other malignant epithelial neoplasms and malignant melanomas|61078836|0-14|All Races|Male and Female|2014|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61078836|0-14|All Races|Male and Female|2014|||
3.4|4.5|3.9|239|XI(b) Thyroid carcinomas|61078836|0-14|All Races|Male and Female|2014|||
~|~|~|~|XI(c) Nasopharyngeal carcinomas|61078836|0-14|All Races|Male and Female|2014|||
1.9|2.6|2.2|136|XI(d) Malignant melanomas|61078836|0-14|All Races|Male and Female|2014|||
~|~|~|~|XI(e) Skin carcinomas|61078836|0-14|All Races|Male and Female|2014|||
2.4|3.2|2.8|170|XI(f) Other and unspecified carcinomas|61078836|0-14|All Races|Male and Female|2014|||
0.5|0.9|0.6|39|XII Other and unspecified malignant neoplasms|61078836|0-14|All Races|Male and Female|2014|||
0.2|0.6|0.4|23|XII(a) Other specified malignant tumors|61078836|0-14|All Races|Male and Female|2014|||
0.1|0.4|0.3|16|XII(b) Other unspecified malignant tumors|61078836|0-14|All Races|Male and Female|2014|||
175.7|182.4|179.0|10953|All ICCC Groups Combined|61030138|0-14|All Races|Male and Female|2015|||
53.0|56.8|54.9|3363|I Leukemias, myeloproliferative & myelodysplastic diseases|61030138|0-14|All Races|Male and Female|2015|||
39.9|43.2|41.5|2544|I(a) Lymphoid leukemias|61030138|0-14|All Races|Male and Female|2015|||
7.2|8.7|7.9|486|I(b) Acute myeloid leukemias|61030138|0-14|All Races|Male and Female|2015|||
1.6|2.3|1.9|116|I(c) Chronic myeloproliferative diseases|61030138|0-14|All Races|Male and Female|2015|||
1.2|1.9|1.5|93|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61030138|0-14|All Races|Male and Female|2015|||
1.7|2.4|2.0|124|I(e) Unspecified and other specified leukemias|61030138|0-14|All Races|Male and Female|2015|||
22.1|24.6|23.3|1421|II Lymphomas and reticuloendothelial neoplasms|61030138|0-14|All Races|Male and Female|2015|||
5.4|6.6|6.0|361|II(a) Hodgkin lymphomas|61030138|0-14|All Races|Male and Female|2015|||
6.9|8.2|7.5|458|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61030138|0-14|All Races|Male and Female|2015|||
2.2|3.0|2.5|155|II(c) Burkitt lymphoma|61030138|0-14|All Races|Male and Female|2015|||
6.4|7.7|7.0|430|II(d) Miscellaneous lymphoreticular neoplasms|61030138|0-14|All Races|Male and Female|2015|||
0.2|0.4|0.3|17|II(e) Unspecified lymphomas|61030138|0-14|All Races|Male and Female|2015|||
34.2|37.2|35.7|2180|III CNS and misc intracranial and intraspinal neoplasms|61030138|0-14|All Races|Male and Female|2015|||
2.7|3.6|3.1|192|III(a) Ependymomas and choroid plexus tumor|61030138|0-14|All Races|Male and Female|2015|||
17.1|19.3|18.2|1111|III(b) Astrocytomas|61030138|0-14|All Races|Male and Female|2015|||
6.6|8.0|7.3|447|III(c) Intracranial and intraspinal embryonal tumors|61030138|0-14|All Races|Male and Female|2015|||
5.4|6.6|6.0|363|III(d) Other gliomas|61030138|0-14|All Races|Male and Female|2015|||
0.5|0.9|0.7|42|III(e) Other specified intracranial & intraspinal neoplasms|61030138|0-14|All Races|Male and Female|2015|||
0.3|0.6|0.4|25|III(f) Unspecified intracranial and intraspinal neoplasms|61030138|0-14|All Races|Male and Female|2015|||
11.4|13.2|12.3|759|IV Neuroblastoma and other peripheral nervous cell tumors|61030138|0-14|All Races|Male and Female|2015|||
11.2|13.0|12.1|746|IV(a) Neuroblastoma and ganglioneuroblastoma|61030138|0-14|All Races|Male and Female|2015|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61030138|0-14|All Races|Male and Female|2015|||
10.5|12.2|11.3|690|IX Soft tissue and other extraosseous sarcomas|61030138|0-14|All Races|Male and Female|2015|||
4.7|5.9|5.3|322|IX(a) Rhabdomyosarcomas|61030138|0-14|All Races|Male and Female|2015|||
0.8|1.4|1.1|67|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61030138|0-14|All Races|Male and Female|2015|||
~|~|~|~|IX(c) Kaposi sarcoma|61030138|0-14|All Races|Male and Female|2015|||
3.3|4.3|3.8|229|IX(d) Other specified soft tissue sarcomas|61030138|0-14|All Races|Male and Female|2015|||
0.9|1.5|1.2|71|IX(e) Unspecified soft tissue sarcomas|61030138|0-14|All Races|Male and Female|2015|||
~|~|~|~|Not classified by ICCC|61030138|0-14|All Races|Male and Female|2015|||
4.4|5.5|4.9|305|V Retinoblastoma|61030138|0-14|All Races|Male and Female|2015|||
9.0|10.6|9.8|603|VI Renal tumors|61030138|0-14|All Races|Male and Female|2015|||
8.6|10.2|9.4|577|VI(a) Nephroblastoma and other nonepithelial renal tumors|61030138|0-14|All Races|Male and Female|2015|||
0.3|0.6|0.4|24|VI(b) Renal carcinomas|61030138|0-14|All Races|Male and Female|2015|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61030138|0-14|All Races|Male and Female|2015|||
2.8|3.7|3.2|200|VII Hepatic tumors|61030138|0-14|All Races|Male and Female|2015|||
2.4|3.3|2.8|173|VII(a) Hepatoblastoma|61030138|0-14|All Races|Male and Female|2015|||
0.3|0.6|0.4|26|VII(b) Hepatic carcinomas|61030138|0-14|All Races|Male and Female|2015|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61030138|0-14|All Races|Male and Female|2015|||
