AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
10-14|0.5|1.3|0.8|18|VI(a) Nephroblastoma and other nonepithelial renal tumors|21411680|2004
10-14|0.5|1.3|0.8|17|VI(b) Renal carcinomas|21411680|2004
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|21411680|2004
10-14|~|~|~|~|VII Hepatic tumors|21411680|2004
10-14|~|~|~|~|VII(a) Hepatoblastoma|21411680|2004
10-14|~|~|~|~|VII(b) Hepatic carcinomas|21411680|2004
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21411680|2004
10-14|12.7|15.9|14.2|305|VIII Malignant bone tumors|21411680|2004
10-14|7.4|9.9|8.6|184|VIII(a) Osteosarcomas|21411680|2004
10-14|~|~|~|~|VIII(b) Chondrosarcomas|21411680|2004
10-14|3.5|5.3|4.3|93|VIII(c) Ewing tumor and related sarcomas of bone|21411680|2004
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|21411680|2004
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21411680|2004
10-14|7.3|9.8|8.5|181|X Germ cell, trophoblastic tumors & neoplasms of gonads|21411680|2004
10-14|2.2|3.7|2.8|61|X(a) Intracranial & intraspinal germ cell tumors|21411680|2004
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|21411680|2004
10-14|3.6|5.5|4.5|96|X(c) Malignant gonadal germ cell tumors|21411680|2004
10-14|~|~|~|~|X(d) Gonadal carcinomas|21411680|2004
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|21411680|2004
10-14|12.2|15.4|13.7|294|XI Other malignant epithelial neoplasms and malignant melanomas|21411680|2004
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|21411680|2004
10-14|4.5|6.5|5.4|116|XI(b) Thyroid carcinomas|21411680|2004
10-14|0.7|1.6|1.1|23|XI(c) Nasopharyngeal carcinomas|21411680|2004
10-14|3.4|5.2|4.2|90|XI(d) Malignant melanomas|21411680|2004
10-14|~|~|~|~|XI(e) Skin carcinomas|21411680|2004
10-14|2.1|3.6|2.8|59|XI(f) Other and unspecified carcinomas|21411680|2004
10-14|0.5|1.4|0.9|19|XII Other and unspecified malignant neoplasms|21411680|2004
10-14|~|~|~|~|XII(a) Other specified malignant tumors|21411680|2004
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|21411680|2004
15-19|211.2|223.8|217.4|4588|All ICCC Groups Combined|21102552|2004
15-19|29.2|34.1|31.6|666|I Leukemias, myeloproliferative & myelodysplastic diseases|21102552|2004
15-19|15.0|18.6|16.7|353|I(a) Lymphoid leukemias|21102552|2004
15-19|7.8|10.4|9.1|191|I(b) Acute myeloid leukemias|21102552|2004
15-19|3.2|5.0|4.0|85|I(c) Chronic myeloproliferative diseases|21102552|2004
15-19|0.6|1.5|0.9|20|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|21102552|2004
15-19|0.5|1.3|0.8|17|I(e) Unspecified and other specified leukemias|21102552|2004
15-19|45.4|51.3|48.3|1019|II Lymphomas and reticuloendothelial neoplasms|21102552|2004
15-19|29.2|34.1|31.6|666|II(a) Hodgkin lymphomas|21102552|2004
15-19|12.1|15.3|13.6|287|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|21102552|2004
15-19|1.5|2.8|2.1|44|II(c) Burkitt lymphoma|21102552|2004
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|21102552|2004
15-19|~|~|~|~|II(e) Unspecified lymphomas|21102552|2004
15-19|21.3|25.5|23.4|493|III CNS and misc intracranial and intraspinal neoplasms|21102552|2004
15-19|1.5|2.7|2.0|43|III(a) Ependymomas and choroid plexus tumor|21102552|2004
15-19|11.8|15.0|13.4|282|III(b) Astrocytomas|21102552|2004
15-19|2.3|3.8|2.9|62|III(c) Intracranial and intraspinal embryonal tumors|21102552|2004
15-19|3.3|5.1|4.2|88|III(d) Other gliomas|21102552|2004
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|21102552|2004
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21102552|2004
15-19|0.5|1.3|0.8|17|IV Neuroblastoma and other peripheral nervous cell tumors|21102552|2004
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|21102552|2004
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|21102552|2004
15-19|14.7|18.2|16.3|345|IX Soft tissue and other extraosseous sarcomas|21102552|2004
15-19|2.5|4.1|3.3|69|IX(a) Rhabdomyosarcomas|21102552|2004
15-19|1.2|2.4|1.8|37|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|21102552|2004
15-19|~|~|~|~|IX(c) Kaposi sarcoma|21102552|2004
15-19|8.2|10.8|9.4|199|IX(d) Other specified soft tissue sarcomas|21102552|2004
15-19|1.3|2.5|1.8|38|IX(e) Unspecified soft tissue sarcomas|21102552|2004
15-19|~|~|~|~|Not classified by ICCC|21102552|2004
15-19|~|~|~|~|V Retinoblastoma|21102552|2004
15-19|1.2|2.3|1.7|35|VI Renal tumors|21102552|2004
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|21102552|2004
15-19|0.7|1.7|1.1|24|VI(b) Renal carcinomas|21102552|2004
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|21102552|2004
15-19|1.1|2.2|1.6|33|VII Hepatic tumors|21102552|2004
15-19|~|~|~|~|VII(a) Hepatoblastoma|21102552|2004
15-19|1.1|2.2|1.6|33|VII(b) Hepatic carcinomas|21102552|2004
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21102552|2004
15-19|13.2|16.6|14.8|313|VIII Malignant bone tumors|21102552|2004
15-19|7.0|9.5|8.2|172|VIII(a) Osteosarcomas|21102552|2004
15-19|0.8|1.7|1.2|25|VIII(b) Chondrosarcomas|21102552|2004
15-19|3.2|4.9|4.0|84|VIII(c) Ewing tumor and related sarcomas of bone|21102552|2004
15-19|0.7|1.7|1.1|24|VIII(d) Other specified malignant bone tumors|21102552|2004
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21102552|2004
15-19|25.3|29.9|27.5|581|X Germ cell, trophoblastic tumors & neoplasms of gonads|21102552|2004
15-19|1.8|3.2|2.5|52|X(a) Intracranial & intraspinal germ cell tumors|21102552|2004
15-19|0.9|1.9|1.3|28|X(b) Malignant extracranial & extragonadal germ cell tumors|21102552|2004
15-19|19.9|23.9|21.8|461|X(c) Malignant gonadal germ cell tumors|21102552|2004
15-19|0.7|1.6|1.1|23|X(d) Gonadal carcinomas|21102552|2004
15-19|0.5|1.3|0.8|17|X(e) Other and unspecified malignant gonadal tumors|21102552|2004
15-19|46.6|52.7|49.6|1046|XI Other malignant epithelial neoplasms and malignant melanomas|21102552|2004
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|21102552|2004
15-19|17.5|21.3|19.3|407|XI(b) Thyroid carcinomas|21102552|2004
15-19|0.7|1.6|1.0|22|XI(c) Nasopharyngeal carcinomas|21102552|2004
15-19|16.6|20.3|18.3|387|XI(d) Malignant melanomas|21102552|2004
15-19|~|~|~|~|XI(e) Skin carcinomas|21102552|2004
15-19|9.3|12.2|10.7|225|XI(f) Other and unspecified carcinomas|21102552|2004
15-19|0.9|2.0|1.4|29|XII Other and unspecified malignant neoplasms|21102552|2004
15-19|~|~|~|~|XII(a) Other specified malignant tumors|21102552|2004
15-19|0.5|1.4|0.9|19|XII(b) Other unspecified malignant tumors|21102552|2004
5-9|115.0|124.7|119.8|2330|All ICCC Groups Combined|19454237|2004
5-9|38.2|43.9|41.0|797|I Leukemias, myeloproliferative & myelodysplastic diseases|19454237|2004
5-9|30.5|35.7|33.0|642|I(a) Lymphoid leukemias|19454237|2004
5-9|4.1|6.2|5.1|99|I(b) Acute myeloid leukemias|19454237|2004
5-9|0.7|1.8|1.2|23|I(c) Chronic myeloproliferative diseases|19454237|2004
5-9|0.5|1.5|0.9|18|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19454237|2004
5-9|~|~|~|~|I(e) Unspecified and other specified leukemias|19454237|2004
5-9|11.9|15.2|13.5|262|II Lymphomas and reticuloendothelial neoplasms|19454237|2004
5-9|2.7|4.4|3.5|68|II(a) Hodgkin lymphomas|19454237|2004
5-9|5.1|7.3|6.1|119|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19454237|2004
5-9|2.3|3.9|3.0|58|II(c) Burkitt lymphoma|19454237|2004
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19454237|2004
5-9|~|~|~|~|II(e) Unspecified lymphomas|19454237|2004
5-9|33.0|38.3|35.6|692|III CNS and misc intracranial and intraspinal neoplasms|19454237|2004
5-9|1.7|3.1|2.3|45|III(a) Ependymomas and choroid plexus tumor|19454237|2004
5-9|15.8|19.6|17.6|343|III(b) Astrocytomas|19454237|2004
5-9|6.4|8.9|7.6|148|III(c) Intracranial and intraspinal embryonal tumors|19454237|2004
5-9|5.9|8.3|7.0|137|III(d) Other gliomas|19454237|2004
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19454237|2004
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19454237|2004
5-9|2.6|4.3|3.3|65|IV Neuroblastoma and other peripheral nervous cell tumors|19454237|2004
5-9|2.5|4.2|3.3|64|IV(a) Neuroblastoma and ganglioneuroblastoma|19454237|2004
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19454237|2004
5-9|6.4|8.9|7.6|148|IX Soft tissue and other extraosseous sarcomas|19454237|2004
5-9|3.1|4.9|3.9|76|IX(a) Rhabdomyosarcomas|19454237|2004
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19454237|2004
5-9|~|~|~|~|IX(c) Kaposi sarcoma|19454237|2004
5-9|1.9|3.3|2.5|49|IX(d) Other specified soft tissue sarcomas|19454237|2004
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|19454237|2004
5-9|~|~|~|~|Not classified by ICCC|19454237|2004
5-9|~|~|~|~|V Retinoblastoma|19454237|2004
5-9|3.8|5.8|4.7|92|VI Renal tumors|19454237|2004
5-9|3.6|5.6|4.5|88|VI(a) Nephroblastoma and other nonepithelial renal tumors|19454237|2004
5-9|~|~|~|~|VI(b) Renal carcinomas|19454237|2004
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|19454237|2004
5-9|~|~|~|~|VII Hepatic tumors|19454237|2004
5-9|~|~|~|~|VII(a) Hepatoblastoma|19454237|2004
5-9|~|~|~|~|VII(b) Hepatic carcinomas|19454237|2004
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19454237|2004
5-9|4.5|6.6|5.4|106|VIII Malignant bone tumors|19454237|2004
5-9|2.5|4.2|3.3|64|VIII(a) Osteosarcomas|19454237|2004
5-9|~|~|~|~|VIII(b) Chondrosarcomas|19454237|2004
5-9|1.2|2.4|1.7|33|VIII(c) Ewing tumor and related sarcomas of bone|19454237|2004
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|19454237|2004
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19454237|2004
5-9|1.6|3.0|2.2|43|X Germ cell, trophoblastic tumors & neoplasms of gonads|19454237|2004
5-9|0.6|1.5|1.0|19|X(a) Intracranial & intraspinal germ cell tumors|19454237|2004
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19454237|2004
5-9|0.6|1.6|1.0|20|X(c) Malignant gonadal germ cell tumors|19454237|2004
5-9|~|~|~|~|X(d) Gonadal carcinomas|19454237|2004
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19454237|2004
5-9|4.0|6.1|5.0|97|XI Other malignant epithelial neoplasms and malignant melanomas|19454237|2004
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|19454237|2004
5-9|1.5|2.8|2.1|40|XI(b) Thyroid carcinomas|19454237|2004
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|19454237|2004
5-9|1.1|2.3|1.6|32|XI(d) Malignant melanomas|19454237|2004
5-9|~|~|~|~|XI(e) Skin carcinomas|19454237|2004
5-9|0.7|1.7|1.1|21|XI(f) Other and unspecified carcinomas|19454237|2004
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|19454237|2004
5-9|~|~|~|~|XII(a) Other specified malignant tumors|19454237|2004
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|19454237|2004
<1|238.5|269.9|253.8|1019|All ICCC Groups Combined|4014258|2004
<1|43.4|57.5|50.1|201|I Leukemias, myeloproliferative & myelodysplastic diseases|4014258|2004
<1|16.0|25.1|20.2|81|I(a) Lymphoid leukemias|4014258|2004
<1|14.5|23.1|18.4|74|I(b) Acute myeloid leukemias|4014258|2004
<1|~|~|~|~|I(c) Chronic myeloproliferative diseases|4014258|2004
<1|3.2|8.0|5.2|21|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|4014258|2004
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|4014258|2004
<1|5.2|11.0|7.7|31|II Lymphomas and reticuloendothelial neoplasms|4014258|2004
<1|~|~|~|~|II(a) Hodgkin lymphomas|4014258|2004
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|4014258|2004
<1|~|~|~|~|II(c) Burkitt lymphoma|4014258|2004
<1|4.0|9.2|6.2|25|II(d) Miscellaneous lymphoreticular neoplasms|4014258|2004
<1|~|~|~|~|II(e) Unspecified lymphomas|4014258|2004
<1|31.6|43.8|37.4|150|III CNS and misc intracranial and intraspinal neoplasms|4014258|2004
<1|4.2|9.5|6.5|26|III(a) Ependymomas and choroid plexus tumor|4014258|2004
<1|11.6|19.5|15.2|61|III(b) Astrocytomas|4014258|2004
<1|7.3|13.9|10.2|41|III(c) Intracranial and intraspinal embryonal tumors|4014258|2004
<1|~|~|~|~|III(d) Other gliomas|4014258|2004
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|4014258|2004
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|4014258|2004
<1|53.2|68.6|60.5|243|IV Neuroblastoma and other peripheral nervous cell tumors|4014258|2004
<1|52.5|67.8|59.8|240|IV(a) Neuroblastoma and ganglioneuroblastoma|4014258|2004
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|4014258|2004
<1|14.3|22.9|18.2|73|IX Soft tissue and other extraosseous sarcomas|4014258|2004
<1|2.8|7.4|4.7|19|IX(a) Rhabdomyosarcomas|4014258|2004
<1|4.2|9.5|6.5|26|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|4014258|2004
<1|~|~|~|~|IX(c) Kaposi sarcoma|4014258|2004
<1|3.2|8.0|5.2|21|IX(d) Other specified soft tissue sarcomas|4014258|2004
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|4014258|2004
<1|~|~|~|~|Not classified by ICCC|4014258|2004
<1|22.7|33.3|27.7|111|V Retinoblastoma|4014258|2004
<1|10.1|17.6|13.5|54|VI Renal tumors|4014258|2004
<1|10.1|17.6|13.5|54|VI(a) Nephroblastoma and other nonepithelial renal tumors|4014258|2004
<1|~|~|~|~|VI(b) Renal carcinomas|4014258|2004
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|4014258|2004
<1|10.5|18.1|14.0|56|VII Hepatic tumors|4014258|2004
<1|9.7|17.0|13.0|52|VII(a) Hepatoblastoma|4014258|2004
<1|~|~|~|~|VII(b) Hepatic carcinomas|4014258|2004
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|4014258|2004
<1|~|~|~|~|VIII Malignant bone tumors|4014258|2004
<1|~|~|~|~|VIII(a) Osteosarcomas|4014258|2004
<1|~|~|~|~|VIII(b) Chondrosarcomas|4014258|2004
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|4014258|2004
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|4014258|2004
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|4014258|2004
<1|14.3|22.9|18.2|73|X Germ cell, trophoblastic tumors & neoplasms of gonads|4014258|2004
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|4014258|2004
<1|8.8|15.9|12.0|48|X(b) Malignant extracranial & extragonadal germ cell tumors|4014258|2004
<1|~|~|~|~|X(c) Malignant gonadal germ cell tumors|4014258|2004
<1|~|~|~|~|X(d) Gonadal carcinomas|4014258|2004
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|4014258|2004
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|4014258|2004
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|4014258|2004
<1|~|~|~|~|XI(b) Thyroid carcinomas|4014258|2004
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|4014258|2004
<1|~|~|~|~|XI(d) Malignant melanomas|4014258|2004
<1|~|~|~|~|XI(e) Skin carcinomas|4014258|2004
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|4014258|2004
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|4014258|2004
<1|~|~|~|~|XII(a) Other specified malignant tumors|4014258|2004
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|4014258|2004
1-4|208.2|222.7|215.4|3427|All ICCC Groups Combined|15913007|2005
1-4|84.0|93.3|88.5|1409|I Leukemias, myeloproliferative & myelodysplastic diseases|15913007|2005
1-4|69.7|78.2|73.9|1176|I(a) Lymphoid leukemias|15913007|2005
1-4|8.3|11.5|9.8|156|I(b) Acute myeloid leukemias|15913007|2005
1-4|0.6|1.7|1.1|17|I(c) Chronic myeloproliferative diseases|15913007|2005
1-4|1.5|3.0|2.1|34|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|15913007|2005
1-4|1.1|2.4|1.6|26|I(e) Unspecified and other specified leukemias|15913007|2005
1-4|8.6|11.7|10.1|160|II Lymphomas and reticuloendothelial neoplasms|15913007|2005
1-4|0.6|1.6|1.0|16|II(a) Hodgkin lymphomas|15913007|2005
1-4|3.5|5.6|4.5|71|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|15913007|2005
1-4|1.4|2.9|2.1|33|II(c) Burkitt lymphoma|15913007|2005
1-4|1.7|3.3|2.4|38|II(d) Miscellaneous lymphoreticular neoplasms|15913007|2005
1-4|~|~|~|~|II(e) Unspecified lymphomas|15913007|2005
1-4|39.2|45.6|42.3|673|III CNS and misc intracranial and intraspinal neoplasms|15913007|2005
1-4|4.0|6.3|5.1|81|III(a) Ependymomas and choroid plexus tumor|15913007|2005
1-4|18.6|23.2|20.8|331|III(b) Astrocytomas|15913007|2005
1-4|8.8|12.1|10.4|165|III(c) Intracranial and intraspinal embryonal tumors|15913007|2005
1-4|4.2|6.5|5.2|83|III(d) Other gliomas|15913007|2005
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|15913007|2005
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|15913007|2005
1-4|21.5|26.3|23.8|379|IV Neuroblastoma and other peripheral nervous cell tumors|15913007|2005
1-4|21.4|26.2|23.7|377|IV(a) Neuroblastoma and ganglioneuroblastoma|15913007|2005
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|15913007|2005
1-4|8.6|11.8|10.1|161|IX Soft tissue and other extraosseous sarcomas|15913007|2005
1-4|6.4|9.2|7.7|122|IX(a) Rhabdomyosarcomas|15913007|2005
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|15913007|2005
1-4|~|~|~|~|IX(c) Kaposi sarcoma|15913007|2005
1-4|0.8|2.0|1.3|21|IX(d) Other specified soft tissue sarcomas|15913007|2005
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|15913007|2005
1-4|~|~|~|~|Not classified by ICCC|15913007|2005
1-4|6.7|9.6|8.0|128|V Retinoblastoma|15913007|2005
1-4|17.7|22.1|19.8|315|VI Renal tumors|15913007|2005
1-4|17.6|22.0|19.7|314|VI(a) Nephroblastoma and other nonepithelial renal tumors|15913007|2005
1-4|~|~|~|~|VI(b) Renal carcinomas|15913007|2005
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|15913007|2005
1-4|3.7|5.9|4.7|75|VII Hepatic tumors|15913007|2005
1-4|3.4|5.6|4.4|70|VII(a) Hepatoblastoma|15913007|2005
1-4|~|~|~|~|VII(b) Hepatic carcinomas|15913007|2005
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|15913007|2005
1-4|1.1|2.5|1.7|27|VIII Malignant bone tumors|15913007|2005
1-4|~|~|~|~|VIII(a) Osteosarcomas|15913007|2005
1-4|~|~|~|~|VIII(b) Chondrosarcomas|15913007|2005
1-4|0.6|1.7|1.1|17|VIII(c) Ewing tumor and related sarcomas of bone|15913007|2005
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|15913007|2005
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|15913007|2005
1-4|2.5|4.4|3.4|54|X Germ cell, trophoblastic tumors & neoplasms of gonads|15913007|2005
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|15913007|2005
1-4|1.1|2.4|1.6|26|X(b) Malignant extracranial & extragonadal germ cell tumors|15913007|2005
1-4|0.9|2.2|1.4|23|X(c) Malignant gonadal germ cell tumors|15913007|2005
1-4|~|~|~|~|X(d) Gonadal carcinomas|15913007|2005
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|15913007|2005
1-4|1.3|2.7|1.9|30|XI Other malignant epithelial neoplasms and malignant melanomas|15913007|2005
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|15913007|2005
1-4|~|~|~|~|XI(b) Thyroid carcinomas|15913007|2005
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|15913007|2005
1-4|0.7|1.9|1.2|19|XI(d) Malignant melanomas|15913007|2005
1-4|~|~|~|~|XI(e) Skin carcinomas|15913007|2005
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|15913007|2005
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|15913007|2005
1-4|~|~|~|~|XII(a) Other specified malignant tumors|15913007|2005
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|15913007|2005
10-14|125.7|135.4|130.5|2768|All ICCC Groups Combined|21212579|2005
10-14|27.6|32.3|29.8|633|I Leukemias, myeloproliferative & myelodysplastic diseases|21212579|2005
10-14|17.1|20.9|19.0|402|I(a) Lymphoid leukemias|21212579|2005
10-14|5.6|7.9|6.7|142|I(b) Acute myeloid leukemias|21212579|2005
10-14|1.5|2.8|2.1|45|I(c) Chronic myeloproliferative diseases|21212579|2005
10-14|0.6|1.5|0.9|20|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|21212579|2005
10-14|0.7|1.7|1.1|24|I(e) Unspecified and other specified leukemias|21212579|2005
10-14|23.4|27.7|25.5|541|II Lymphomas and reticuloendothelial neoplasms|21212579|2005
10-14|11.1|14.2|12.6|267|II(a) Hodgkin lymphomas|21212579|2005
10-14|7.6|10.2|8.9|188|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|21212579|2005
10-14|2.4|3.9|3.1|65|II(c) Burkitt lymphoma|21212579|2005
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|21212579|2005
10-14|~|~|~|~|II(e) Unspecified lymphomas|21212579|2005
10-14|24.1|28.5|26.2|556|III CNS and misc intracranial and intraspinal neoplasms|21212579|2005
10-14|1.3|2.5|1.8|39|III(a) Ependymomas and choroid plexus tumor|21212579|2005
10-14|14.0|17.4|15.6|331|III(b) Astrocytomas|21212579|2005
10-14|2.8|4.4|3.5|75|III(c) Intracranial and intraspinal embryonal tumors|21212579|2005
10-14|3.6|5.4|4.4|94|III(d) Other gliomas|21212579|2005
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|21212579|2005
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21212579|2005
10-14|1.0|2.0|1.4|30|IV Neuroblastoma and other peripheral nervous cell tumors|21212579|2005
10-14|0.8|1.8|1.2|26|IV(a) Neuroblastoma and ganglioneuroblastoma|21212579|2005
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|21212579|2005
10-14|10.2|13.2|11.6|247|IX Soft tissue and other extraosseous sarcomas|21212579|2005
10-14|2.9|4.5|3.6|77|IX(a) Rhabdomyosarcomas|21212579|2005
10-14|1.0|2.0|1.4|30|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|21212579|2005
10-14|~|~|~|~|IX(c) Kaposi sarcoma|21212579|2005
10-14|4.6|6.6|5.5|117|IX(d) Other specified soft tissue sarcomas|21212579|2005
10-14|0.6|1.6|1.0|22|IX(e) Unspecified soft tissue sarcomas|21212579|2005
10-14|~|~|~|~|Not classified by ICCC|21212579|2005
10-14|~|~|~|~|V Retinoblastoma|21212579|2005
10-14|0.7|1.7|1.1|24|VI Renal tumors|21212579|2005
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|21212579|2005
10-14|~|~|~|~|VI(b) Renal carcinomas|21212579|2005
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|21212579|2005
10-14|0.6|1.5|0.9|20|VII Hepatic tumors|21212579|2005
10-14|~|~|~|~|VII(a) Hepatoblastoma|21212579|2005
10-14|0.5|1.3|0.8|17|VII(b) Hepatic carcinomas|21212579|2005
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21212579|2005
10-14|11.3|14.4|12.8|271|VIII Malignant bone tumors|21212579|2005
10-14|6.5|9.0|7.7|163|VIII(a) Osteosarcomas|21212579|2005
10-14|~|~|~|~|VIII(b) Chondrosarcomas|21212579|2005
10-14|3.2|5.0|4.0|85|VIII(c) Ewing tumor and related sarcomas of bone|21212579|2005
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|21212579|2005
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21212579|2005
10-14|5.6|7.8|6.6|140|X Germ cell, trophoblastic tumors & neoplasms of gonads|21212579|2005
10-14|1.4|2.7|2.0|42|X(a) Intracranial & intraspinal germ cell tumors|21212579|2005
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|21212579|2005
10-14|2.9|4.6|3.7|78|X(c) Malignant gonadal germ cell tumors|21212579|2005
10-14|~|~|~|~|X(d) Gonadal carcinomas|21212579|2005
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|21212579|2005
10-14|12.1|15.3|13.7|290|XI Other malignant epithelial neoplasms and malignant melanomas|21212579|2005
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|21212579|2005
10-14|4.5|6.5|5.4|115|XI(b) Thyroid carcinomas|21212579|2005
10-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|21212579|2005
10-14|2.9|4.5|3.6|77|XI(d) Malignant melanomas|21212579|2005
10-14|~|~|~|~|XI(e) Skin carcinomas|21212579|2005
10-14|3.1|4.8|3.9|82|XI(f) Other and unspecified carcinomas|21212579|2005
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|21212579|2005
10-14|~|~|~|~|XII(a) Other specified malignant tumors|21212579|2005
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|21212579|2005
15-19|216.4|229.1|222.7|4784|All ICCC Groups Combined|21486214|2005
15-19|28.4|33.1|30.7|659|I Leukemias, myeloproliferative & myelodysplastic diseases|21486214|2005
