AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-19|0.1|0.1|0.1|54|Mortality|82324418|Kidney and Renal Pelvis|2006
0-19|0.6|0.8|0.7|573|Incidence|82324418|Kidney and Renal Pelvis|2006
0-19|0.7|0.8|0.7|618|Mortality|82324418|Leukemia|2006
0-19|4.3|4.6|4.5|3671|Incidence|82324418|Leukemia|2006
0-19|0.1|0.1|0.1|89|Mortality|82324418|Non-Hodgkin Lymphoma|2006
0-19|1.1|1.2|1.1|944|Incidence|82324418|Non-Hodgkin Lymphoma|2006
0-19|0.5|0.6|0.5|413|Mortality|82324418|Other|2006
0-19|4.5|4.8|4.6|3888|Incidence|82324418|Other|2006
0-19|0.1|0.2|0.2|140|Mortality|82324418|Soft Tissue|2006
0-19|0.9|1.1|1.0|827|Incidence|82324418|Soft Tissue|2006
0-14|0.3|0.4|0.4|212|Mortality|60681615|Acute Lymphocytic|2007
0-14|3.8|4.1|4.0|2429|Incidence|60681615|Acute Lymphocytic|2007
0-14|0.2|0.3|0.2|129|Mortality|60681615|Acute Myeloid|2007
0-14|0.6|0.7|0.7|414|Incidence|60681615|Acute Myeloid|2007
0-14|2.2|2.4|2.3|1395|Mortality|60681615|All Cancer Sites Combined|2007
0-14|15.9|16.6|16.3|9933|Incidence|60681615|All Cancer Sites Combined|2007
0-14|0.1|0.1|0.1|61|Mortality|60681615|Bones and Joints|2007
0-14|0.6|0.8|0.7|427|Incidence|60681615|Bones and Joints|2007
0-14|0.6|0.8|0.7|426|Mortality|60681615|Brain and Other Nervous System|2007
0-14|3.5|3.8|3.6|2217|Incidence|60681615|Brain and Other Nervous System|2007
0-14|~|~|~|~|Mortality|60681615|Hodgkin Lymphoma|2007
0-14|0.5|0.6|0.5|332|Incidence|60681615|Hodgkin Lymphoma|2007
0-14|0.0|0.1|0.1|36|Mortality|60681615|Kidney and Renal Pelvis|2007
0-14|0.8|1.0|0.9|544|Incidence|60681615|Kidney and Renal Pelvis|2007
0-14|0.7|0.8|0.7|441|Mortality|60681615|Leukemia|2007
0-14|4.9|5.2|5.0|3069|Incidence|60681615|Leukemia|2007
0-14|0.0|0.1|0.1|40|Mortality|60681615|Non-Hodgkin Lymphoma|2007
0-14|0.9|1.1|1.0|596|Incidence|60681615|Non-Hodgkin Lymphoma|2007
0-14|0.4|0.6|0.5|306|Mortality|60681615|Other|2007
0-14|3.2|3.5|3.4|2096|Incidence|60681615|Other|2007
0-14|0.1|0.2|0.1|82|Mortality|60681615|Soft Tissue|2007
0-14|1.0|1.1|1.1|652|Incidence|60681615|Soft Tissue|2007
0-19|0.3|0.4|0.4|294|Mortality|82749431|Acute Lymphocytic|2007
0-19|3.3|3.5|3.4|2800|Incidence|82749431|Acute Lymphocytic|2007
0-19|0.2|0.3|0.2|195|Mortality|82749431|Acute Myeloid|2007
0-19|0.6|0.8|0.7|584|Incidence|82749431|Acute Myeloid|2007
0-19|2.4|2.6|2.5|2068|Mortality|82749431|All Cancer Sites Combined|2007
0-19|17.5|18.0|17.7|14826|Incidence|82749431|All Cancer Sites Combined|2007
0-19|0.2|0.2|0.2|172|Mortality|82749431|Bones and Joints|2007
0-19|0.8|1.0|0.9|753|Incidence|82749431|Bones and Joints|2007
0-19|0.6|0.7|0.6|521|Mortality|82749431|Brain and Other Nervous System|2007
0-19|3.2|3.4|3.3|2718|Incidence|82749431|Brain and Other Nervous System|2007
0-19|0.0|0.0|0.0|19|Mortality|82749431|Hodgkin Lymphoma|2007
0-19|1.1|1.3|1.2|1038|Incidence|82749431|Hodgkin Lymphoma|2007
0-19|0.0|0.1|0.1|47|Mortality|82749431|Kidney and Renal Pelvis|2007
0-19|0.7|0.8|0.7|587|Incidence|82749431|Kidney and Renal Pelvis|2007
0-19|0.7|0.8|0.8|643|Mortality|82749431|Leukemia|2007
0-19|4.4|4.7|4.5|3723|Incidence|82749431|Leukemia|2007
0-19|0.1|0.1|0.1|87|Mortality|82749431|Non-Hodgkin Lymphoma|2007
0-19|1.1|1.3|1.2|978|Incidence|82749431|Non-Hodgkin Lymphoma|2007
0-19|0.5|0.6|0.5|439|Mortality|82749431|Other|2007
0-19|4.7|5.0|4.8|4107|Incidence|82749431|Other|2007
0-19|0.1|0.2|0.2|140|Mortality|82749431|Soft Tissue|2007
0-19|1.0|1.2|1.1|922|Incidence|82749431|Soft Tissue|2007
0-14|0.2|0.3|0.3|176|Mortality|60907384|Acute Lymphocytic|2008
0-14|3.9|4.3|4.1|2510|Incidence|60907384|Acute Lymphocytic|2008
0-14|0.2|0.2|0.2|127|Mortality|60907384|Acute Myeloid|2008
0-14|0.6|0.8|0.7|436|Incidence|60907384|Acute Myeloid|2008
0-14|2.1|2.3|2.2|1354|Mortality|60907384|All Cancer Sites Combined|2008
0-14|16.2|16.8|16.5|10138|Incidence|60907384|All Cancer Sites Combined|2008
0-14|0.1|0.1|0.1|62|Mortality|60907384|Bones and Joints|2008
0-14|0.6|0.8|0.7|426|Incidence|60907384|Bones and Joints|2008
0-14|0.6|0.8|0.7|429|Mortality|60907384|Brain and Other Nervous System|2008
0-14|3.5|3.8|3.7|2230|Incidence|60907384|Brain and Other Nervous System|2008
0-14|~|~|~|~|Mortality|60907384|Hodgkin Lymphoma|2008
0-14|0.6|0.7|0.6|384|Incidence|60907384|Hodgkin Lymphoma|2008
0-14|0.1|0.1|0.1|46|Mortality|60907384|Kidney and Renal Pelvis|2008
0-14|0.8|1.0|0.9|571|Incidence|60907384|Kidney and Renal Pelvis|2008
0-14|0.6|0.7|0.7|402|Mortality|60907384|Leukemia|2008
0-14|5.0|5.4|5.2|3171|Incidence|60907384|Leukemia|2008
0-14|0.0|0.1|0.1|39|Mortality|60907384|Non-Hodgkin Lymphoma|2008
0-14|0.9|1.0|1.0|583|Incidence|60907384|Non-Hodgkin Lymphoma|2008
0-14|0.4|0.5|0.5|286|Mortality|60907384|Other|2008
0-14|3.2|3.5|3.4|2102|Incidence|60907384|Other|2008
0-14|0.1|0.2|0.1|89|Mortality|60907384|Soft Tissue|2008
0-14|1.0|1.2|1.1|671|Incidence|60907384|Soft Tissue|2008
0-19|0.3|0.3|0.3|253|Mortality|83118264|Acute Lymphocytic|2008
0-19|3.4|3.6|3.5|2886|Incidence|83118264|Acute Lymphocytic|2008
0-19|0.2|0.3|0.2|183|Mortality|83118264|Acute Myeloid|2008
0-19|0.7|0.8|0.7|629|Incidence|83118264|Acute Myeloid|2008
0-19|2.3|2.5|2.4|2039|Mortality|83118264|All Cancer Sites Combined|2008
0-19|17.7|18.2|18.0|15070|Incidence|83118264|All Cancer Sites Combined|2008
0-19|0.2|0.2|0.2|182|Mortality|83118264|Bones and Joints|2008
0-19|0.8|1.0|0.9|750|Incidence|83118264|Bones and Joints|2008
0-19|0.6|0.7|0.6|533|Mortality|83118264|Brain and Other Nervous System|2008
0-19|3.2|3.5|3.3|2753|Incidence|83118264|Brain and Other Nervous System|2008
0-19|~|~|~|~|Mortality|83118264|Hodgkin Lymphoma|2008
0-19|1.2|1.4|1.3|1108|Incidence|83118264|Hodgkin Lymphoma|2008
0-19|0.0|0.1|0.1|52|Mortality|83118264|Kidney and Renal Pelvis|2008
0-19|0.7|0.8|0.7|620|Incidence|83118264|Kidney and Renal Pelvis|2008
0-19|0.7|0.8|0.7|598|Mortality|83118264|Leukemia|2008
0-19|4.5|4.8|4.6|3852|Incidence|83118264|Leukemia|2008
0-19|0.1|0.1|0.1|93|Mortality|83118264|Non-Hodgkin Lymphoma|2008
0-19|1.1|1.2|1.2|970|Incidence|83118264|Non-Hodgkin Lymphoma|2008
0-19|0.4|0.5|0.5|407|Mortality|83118264|Other|2008
0-19|4.7|5.0|4.8|4100|Incidence|83118264|Other|2008
0-19|0.2|0.2|0.2|160|Mortality|83118264|Soft Tissue|2008
0-19|1.0|1.2|1.1|917|Incidence|83118264|Soft Tissue|2008
0-14|0.2|0.3|0.3|174|Mortality|61087581|Acute Lymphocytic|2009
0-14|3.9|4.3|4.1|2523|Incidence|61087581|Acute Lymphocytic|2009
0-14|0.2|0.2|0.2|119|Mortality|61087581|Acute Myeloid|2009
0-14|0.6|0.7|0.6|400|Incidence|61087581|Acute Myeloid|2009
0-14|2.0|2.3|2.2|1320|Mortality|61087581|All Cancer Sites Combined|2009
0-14|16.1|16.7|16.4|10066|Incidence|61087581|All Cancer Sites Combined|2009
0-14|0.1|0.2|0.1|77|Mortality|61087581|Bones and Joints|2009
0-14|0.6|0.8|0.7|432|Incidence|61087581|Bones and Joints|2009
0-14|0.6|0.7|0.7|402|Mortality|61087581|Brain and Other Nervous System|2009
0-14|3.5|3.8|3.6|2226|Incidence|61087581|Brain and Other Nervous System|2009
0-14|~|~|~|~|Mortality|61087581|Hodgkin Lymphoma|2009
0-14|0.5|0.6|0.6|349|Incidence|61087581|Hodgkin Lymphoma|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Kidney and Renal Pelvis|2009
0-14|0.9|1.0|1.0|592|Incidence|61087581|Kidney and Renal Pelvis|2009
0-14|0.6|0.7|0.6|389|Mortality|61087581|Leukemia|2009
0-14|4.9|5.3|5.1|3140|Incidence|61087581|Leukemia|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Non-Hodgkin Lymphoma|2009
0-14|0.9|1.0|0.9|576|Incidence|61087581|Non-Hodgkin Lymphoma|2009
0-14|0.4|0.5|0.4|271|Mortality|61087581|Other|2009
0-14|3.3|3.6|3.4|2106|Incidence|61087581|Other|2009
0-14|0.1|0.2|0.2|98|Mortality|61087581|Soft Tissue|2009
0-14|1.0|1.1|1.0|645|Incidence|61087581|Soft Tissue|2009
0-19|0.3|0.3|0.3|240|Mortality|83280391|Acute Lymphocytic|2009
0-19|3.3|3.6|3.5|2877|Incidence|83280391|Acute Lymphocytic|2009
0-19|0.2|0.3|0.2|182|Mortality|83280391|Acute Myeloid|2009
0-19|0.6|0.7|0.7|579|Incidence|83280391|Acute Myeloid|2009
0-19|2.2|2.5|2.3|1964|Mortality|83280391|All Cancer Sites Combined|2009
0-19|17.6|18.2|17.9|15008|Incidence|83280391|All Cancer Sites Combined|2009
0-19|0.2|0.2|0.2|179|Mortality|83280391|Bones and Joints|2009
0-19|0.8|1.0|0.9|766|Incidence|83280391|Bones and Joints|2009
0-19|0.6|0.7|0.6|522|Mortality|83280391|Brain and Other Nervous System|2009
0-19|3.2|3.4|3.3|2727|Incidence|83280391|Brain and Other Nervous System|2009
0-19|0.0|0.0|0.0|22|Mortality|83280391|Hodgkin Lymphoma|2009
0-19|1.2|1.3|1.3|1081|Incidence|83280391|Hodgkin Lymphoma|2009
0-19|0.0|0.1|0.1|45|Mortality|83280391|Kidney and Renal Pelvis|2009
0-19|0.7|0.8|0.8|636|Incidence|83280391|Kidney and Renal Pelvis|2009
0-19|0.6|0.7|0.7|561|Mortality|83280391|Leukemia|2009
0-19|4.4|4.7|4.5|3771|Incidence|83280391|Leukemia|2009
0-19|0.1|0.1|0.1|75|Mortality|83280391|Non-Hodgkin Lymphoma|2009
0-19|1.1|1.2|1.1|949|Incidence|83280391|Non-Hodgkin Lymphoma|2009
0-19|0.4|0.5|0.5|396|Mortality|83280391|Other|2009
0-19|4.7|5.0|4.9|4157|Incidence|83280391|Other|2009
0-19|0.2|0.2|0.2|164|Mortality|83280391|Soft Tissue|2009
0-19|1.0|1.2|1.1|921|Incidence|83280391|Soft Tissue|2009
0-14|0.2|0.3|0.3|164|Mortality|61202423|Acute Lymphocytic|2010
0-14|3.9|4.2|4.1|2514|Incidence|61202423|Acute Lymphocytic|2010
0-14|0.2|0.3|0.2|131|Mortality|61202423|Acute Myeloid|2010
0-14|0.6|0.8|0.7|433|Incidence|61202423|Acute Myeloid|2010
0-14|2.0|2.3|2.2|1324|Mortality|61202423|All Cancer Sites Combined|2010
0-14|16.8|17.4|17.1|10512|Incidence|61202423|All Cancer Sites Combined|2010
0-14|0.1|0.2|0.1|75|Mortality|61202423|Bones and Joints|2010
0-14|0.6|0.8|0.7|424|Incidence|61202423|Bones and Joints|2010
0-14|0.6|0.7|0.7|410|Mortality|61202423|Brain and Other Nervous System|2010
0-14|3.6|3.9|3.8|2302|Incidence|61202423|Brain and Other Nervous System|2010
0-14|~|~|~|~|Mortality|61202423|Hodgkin Lymphoma|2010
0-14|0.5|0.6|0.5|324|Incidence|61202423|Hodgkin Lymphoma|2010
0-14|0.1|0.1|0.1|46|Mortality|61202423|Kidney and Renal Pelvis|2010
0-14|0.8|0.9|0.9|542|Incidence|61202423|Kidney and Renal Pelvis|2010
0-14|0.6|0.7|0.6|390|Mortality|61202423|Leukemia|2010
0-14|5.0|5.3|5.1|3163|Incidence|61202423|Leukemia|2010
0-14|0.0|0.1|0.1|35|Mortality|61202423|Non-Hodgkin Lymphoma|2010
0-14|0.9|1.1|1.0|595|Incidence|61202423|Non-Hodgkin Lymphoma|2010
0-14|0.4|0.5|0.5|286|Mortality|61202423|Other|2010
0-14|3.9|4.2|4.1|2500|Incidence|61202423|Other|2010
0-14|0.1|0.2|0.1|79|Mortality|61202423|Soft Tissue|2010
0-14|1.0|1.2|1.1|662|Incidence|61202423|Soft Tissue|2010
0-19|0.2|0.3|0.3|230|Mortality|83184292|Acute Lymphocytic|2010
0-19|3.3|3.6|3.4|2849|Incidence|83184292|Acute Lymphocytic|2010
0-19|0.2|0.3|0.2|198|Mortality|83184292|Acute Myeloid|2010
0-19|0.7|0.8|0.8|634|Incidence|83184292|Acute Myeloid|2010
0-19|2.2|2.4|2.3|1925|Mortality|83184292|All Cancer Sites Combined|2010
0-19|18.0|18.6|18.3|15297|Incidence|83184292|All Cancer Sites Combined|2010
0-19|0.2|0.2|0.2|166|Mortality|83184292|Bones and Joints|2010
0-19|0.8|0.9|0.9|715|Incidence|83184292|Bones and Joints|2010
0-19|0.6|0.7|0.6|498|Mortality|83184292|Brain and Other Nervous System|2010
0-19|3.2|3.5|3.4|2782|Incidence|83184292|Brain and Other Nervous System|2010
0-19|~|~|~|~|Mortality|83184292|Hodgkin Lymphoma|2010
0-19|1.1|1.3|1.2|1037|Incidence|83184292|Hodgkin Lymphoma|2010
0-19|0.1|0.1|0.1|56|Mortality|83184292|Kidney and Renal Pelvis|2010
0-19|0.6|0.8|0.7|576|Incidence|83184292|Kidney and Renal Pelvis|2010
0-19|0.6|0.7|0.7|553|Mortality|83184292|Leukemia|2010
0-19|4.4|4.7|4.6|3807|Incidence|83184292|Leukemia|2010
0-19|0.1|0.1|0.1|75|Mortality|83184292|Non-Hodgkin Lymphoma|2010
0-19|1.1|1.2|1.1|950|Incidence|83184292|Non-Hodgkin Lymphoma|2010
0-19|0.5|0.6|0.5|419|Mortality|83184292|Other|2010
0-19|5.2|5.5|5.3|4518|Incidence|83184292|Other|2010
0-19|0.1|0.2|0.2|146|Mortality|83184292|Soft Tissue|2010
0-19|1.0|1.2|1.1|912|Incidence|83184292|Soft Tissue|2010
0-14|0.2|0.3|0.3|153|Mortality|61176726|Acute Lymphocytic|2011
0-14|4.0|4.3|4.2|2572|Incidence|61176726|Acute Lymphocytic|2011
0-14|0.2|0.2|0.2|117|Mortality|61176726|Acute Myeloid|2011
0-14|0.6|0.8|0.7|428|Incidence|61176726|Acute Myeloid|2011
0-14|2.0|2.2|2.1|1283|Mortality|61176726|All Cancer Sites Combined|2011
0-14|16.8|17.4|17.1|10499|Incidence|61176726|All Cancer Sites Combined|2011
0-14|0.1|0.2|0.1|73|Mortality|61176726|Bones and Joints|2011
0-14|0.7|0.8|0.8|466|Incidence|61176726|Bones and Joints|2011
0-14|0.7|0.8|0.7|439|Mortality|61176726|Brain and Other Nervous System|2011
0-14|3.5|3.9|3.7|2267|Incidence|61176726|Brain and Other Nervous System|2011
0-14|~|~|~|~|Mortality|61176726|Hodgkin Lymphoma|2011
0-14|0.5|0.6|0.5|316|Incidence|61176726|Hodgkin Lymphoma|2011
0-14|0.0|0.1|0.1|39|Mortality|61176726|Kidney and Renal Pelvis|2011
0-14|0.9|1.0|0.9|576|Incidence|61176726|Kidney and Renal Pelvis|2011
0-14|0.5|0.6|0.6|342|Mortality|61176726|Leukemia|2011
0-14|5.0|5.4|5.2|3208|Incidence|61176726|Leukemia|2011
0-14|0.0|0.1|0.1|32|Mortality|61176726|Non-Hodgkin Lymphoma|2011
0-14|0.8|1.0|0.9|562|Incidence|61176726|Non-Hodgkin Lymphoma|2011
0-14|0.4|0.5|0.4|273|Mortality|61176726|Other|2011
0-14|3.9|4.2|4.0|2482|Incidence|61176726|Other|2011
0-14|0.1|0.2|0.1|84|Mortality|61176726|Soft Tissue|2011
0-14|0.9|1.1|1.0|622|Incidence|61176726|Soft Tissue|2011
0-19|0.2|0.3|0.3|223|Mortality|82838469|Acute Lymphocytic|2011
0-19|3.4|3.7|3.6|2946|Incidence|82838469|Acute Lymphocytic|2011
0-19|0.2|0.2|0.2|174|Mortality|82838469|Acute Myeloid|2011
0-19|0.7|0.8|0.8|634|Incidence|82838469|Acute Myeloid|2011
0-19|2.2|2.4|2.3|1922|Mortality|82838469|All Cancer Sites Combined|2011
0-19|18.2|18.8|18.5|15393|Incidence|82838469|All Cancer Sites Combined|2011
0-19|0.2|0.2|0.2|174|Mortality|82838469|Bones and Joints|2011
0-19|0.9|1.0|0.9|761|Incidence|82838469|Bones and Joints|2011
0-19|0.6|0.7|0.7|550|Mortality|82838469|Brain and Other Nervous System|2011
0-19|3.3|3.5|3.4|2827|Incidence|82838469|Brain and Other Nervous System|2011
0-19|0.0|0.0|0.0|17|Mortality|82838469|Hodgkin Lymphoma|2011
0-19|1.1|1.3|1.2|1004|Incidence|82838469|Hodgkin Lymphoma|2011
0-19|0.0|0.1|0.1|45|Mortality|82838469|Kidney and Renal Pelvis|2011
0-19|0.7|0.8|0.7|620|Incidence|82838469|Kidney and Renal Pelvis|2011
0-19|0.6|0.7|0.6|519|Mortality|82838469|Leukemia|2011
0-19|4.5|4.8|4.7|3890|Incidence|82838469|Leukemia|2011
0-19|0.1|0.1|0.1|64|Mortality|82838469|Non-Hodgkin Lymphoma|2011
0-19|1.1|1.2|1.1|936|Incidence|82838469|Non-Hodgkin Lymphoma|2011
0-19|0.4|0.5|0.5|405|Mortality|82838469|Other|2011
0-19|5.2|5.5|5.4|4503|Incidence|82838469|Other|2011
0-19|0.1|0.2|0.2|148|Mortality|82838469|Soft Tissue|2011
0-19|1.0|1.1|1.0|852|Incidence|82838469|Soft Tissue|2011
0-14|0.2|0.3|0.2|152|Mortality|61127458|Acute Lymphocytic|2012
0-14|3.8|4.2|4.0|2458|Incidence|61127458|Acute Lymphocytic|2012
0-14|0.2|0.3|0.2|137|Mortality|61127458|Acute Myeloid|2012
0-14|0.6|0.7|0.6|398|Incidence|61127458|Acute Myeloid|2012
0-14|2.1|2.4|2.2|1367|Mortality|61127458|All Cancer Sites Combined|2012
0-14|16.7|17.3|17.0|10430|Incidence|61127458|All Cancer Sites Combined|2012
0-14|0.1|0.1|0.1|68|Mortality|61127458|Bones and Joints|2012
0-14|0.7|0.8|0.8|459|Incidence|61127458|Bones and Joints|2012
0-14|0.7|0.8|0.8|458|Mortality|61127458|Brain and Other Nervous System|2012
0-14|3.5|3.8|3.6|2234|Incidence|61127458|Brain and Other Nervous System|2012
0-14|~|~|~|~|Mortality|61127458|Hodgkin Lymphoma|2012
0-14|0.5|0.6|0.6|351|Incidence|61127458|Hodgkin Lymphoma|2012
0-14|0.0|0.1|0.0|30|Mortality|61127458|Kidney and Renal Pelvis|2012
0-14|0.8|1.0|0.9|544|Incidence|61127458|Kidney and Renal Pelvis|2012
0-14|0.6|0.7|0.6|378|Mortality|61127458|Leukemia|2012
0-14|4.8|5.1|5.0|3055|Incidence|61127458|Leukemia|2012
0-14|0.0|0.1|0.1|36|Mortality|61127458|Non-Hodgkin Lymphoma|2012
0-14|0.9|1.1|1.0|620|Incidence|61127458|Non-Hodgkin Lymphoma|2012
0-14|0.4|0.5|0.5|292|Mortality|61127458|Other|2012
0-14|4.0|4.3|4.1|2523|Incidence|61127458|Other|2012
0-14|0.1|0.2|0.2|101|Mortality|61127458|Soft Tissue|2012
0-14|1.0|1.1|1.1|644|Incidence|61127458|Soft Tissue|2012
0-19|0.2|0.3|0.3|219|Mortality|82501478|Acute Lymphocytic|2012
0-19|3.3|3.5|3.4|2787|Incidence|82501478|Acute Lymphocytic|2012
0-19|0.2|0.3|0.2|193|Mortality|82501478|Acute Myeloid|2012
0-19|0.7|0.8|0.7|596|Incidence|82501478|Acute Myeloid|2012
0-19|2.3|2.5|2.4|1995|Mortality|82501478|All Cancer Sites Combined|2012
0-19|18.3|18.9|18.6|15415|Incidence|82501478|All Cancer Sites Combined|2012
0-19|0.2|0.2|0.2|178|Mortality|82501478|Bones and Joints|2012
0-19|0.9|1.0|0.9|773|Incidence|82501478|Bones and Joints|2012
0-19|0.6|0.8|0.7|575|Mortality|82501478|Brain and Other Nervous System|2012
0-19|3.2|3.5|3.3|2741|Incidence|82501478|Brain and Other Nervous System|2012
0-19|~|~|~|~|Mortality|82501478|Hodgkin Lymphoma|2012
0-19|1.2|1.3|1.3|1051|Incidence|82501478|Hodgkin Lymphoma|2012
0-19|0.0|0.1|0.0|40|Mortality|82501478|Kidney and Renal Pelvis|2012
0-19|0.7|0.8|0.7|599|Incidence|82501478|Kidney and Renal Pelvis|2012
0-19|0.6|0.7|0.6|534|Mortality|82501478|Leukemia|2012
0-19|4.3|4.6|4.5|3696|Incidence|82501478|Leukemia|2012
0-19|0.1|0.1|0.1|60|Mortality|82501478|Non-Hodgkin Lymphoma|2012
0-19|1.2|1.3|1.3|1041|Incidence|82501478|Non-Hodgkin Lymphoma|2012
0-19|0.5|0.6|0.5|421|Mortality|82501478|Other|2012
0-19|5.4|5.8|5.6|4661|Incidence|82501478|Other|2012
0-19|0.2|0.2|0.2|177|Mortality|82501478|Soft Tissue|2012
0-19|1.0|1.1|1.0|853|Incidence|82501478|Soft Tissue|2012
0-14|0.2|0.3|0.2|141|Mortality|61087762|Acute Lymphocytic|2013
0-14|3.6|3.9|3.8|2310|Incidence|61087762|Acute Lymphocytic|2013
0-14|0.2|0.2|0.2|127|Mortality|61087762|Acute Myeloid|2013
0-14|0.7|0.8|0.7|439|Incidence|61087762|Acute Myeloid|2013
0-14|2.0|2.2|2.1|1287|Mortality|61087762|All Cancer Sites Combined|2013
0-14|17.0|17.6|17.3|10571|Incidence|61087762|All Cancer Sites Combined|2013
0-14|0.1|0.1|0.1|72|Mortality|61087762|Bones and Joints|2013
0-14|0.7|0.8|0.8|471|Incidence|61087762|Bones and Joints|2013
0-14|0.7|0.8|0.7|437|Mortality|61087762|Brain and Other Nervous System|2013
0-14|3.7|4.0|3.8|2326|Incidence|61087762|Brain and Other Nervous System|2013
0-14|~|~|~|~|Mortality|61087762|Hodgkin Lymphoma|2013
0-14|0.5|0.6|0.6|337|Incidence|61087762|Hodgkin Lymphoma|2013
0-14|0.0|0.1|0.1|40|Mortality|61087762|Kidney and Renal Pelvis|2013
0-14|0.8|1.0|0.9|561|Incidence|61087762|Kidney and Renal Pelvis|2013
0-14|0.5|0.6|0.6|350|Mortality|61087762|Leukemia|2013
0-14|4.7|5.1|4.9|2994|Incidence|61087762|Leukemia|2013
0-14|0.0|0.1|0.0|29|Mortality|61087762|Non-Hodgkin Lymphoma|2013
0-14|0.9|1.1|1.0|601|Incidence|61087762|Non-Hodgkin Lymphoma|2013
0-14|0.4|0.5|0.4|254|Mortality|61087762|Other|2013
0-14|4.1|4.4|4.3|2614|Incidence|61087762|Other|2013
0-14|0.1|0.2|0.2|101|Mortality|61087762|Soft Tissue|2013
0-14|1.0|1.2|1.1|667|Incidence|61087762|Soft Tissue|2013
0-19|0.2|0.3|0.2|197|Mortality|82271238|Acute Lymphocytic|2013
0-19|3.1|3.3|3.2|2645|Incidence|82271238|Acute Lymphocytic|2013
0-19|0.2|0.3|0.2|186|Mortality|82271238|Acute Myeloid|2013
0-19|0.7|0.8|0.8|631|Incidence|82271238|Acute Myeloid|2013
0-19|2.2|2.4|2.3|1914|Mortality|82271238|All Cancer Sites Combined|2013
0-19|18.2|18.8|18.5|15293|Incidence|82271238|All Cancer Sites Combined|2013
0-19|0.2|0.3|0.2|180|Mortality|82271238|Bones and Joints|2013
0-19|0.9|1.0|1.0|785|Incidence|82271238|Bones and Joints|2013
0-19|0.6|0.7|0.7|556|Mortality|82271238|Brain and Other Nervous System|2013
0-19|3.3|3.6|3.4|2827|Incidence|82271238|Brain and Other Nervous System|2013
0-19|~|~|~|~|Mortality|82271238|Hodgkin Lymphoma|2013
0-19|1.1|1.2|1.2|966|Incidence|82271238|Hodgkin Lymphoma|2013
0-19|0.0|0.1|0.1|46|Mortality|82271238|Kidney and Renal Pelvis|2013
0-19|0.7|0.8|0.8|618|Incidence|82271238|Kidney and Renal Pelvis|2013
0-19|0.6|0.7|0.6|509|Mortality|82271238|Leukemia|2013
0-19|4.3|4.6|4.4|3638|Incidence|82271238|Leukemia|2013
0-19|0.1|0.1|0.1|60|Mortality|82271238|Non-Hodgkin Lymphoma|2013
0-19|1.1|1.2|1.2|967|Incidence|82271238|Non-Hodgkin Lymphoma|2013
0-19|0.4|0.5|0.4|367|Mortality|82271238|Other|2013
0-19|5.4|5.7|5.6|4607|Incidence|82271238|Other|2013
0-19|0.2|0.3|0.2|183|Mortality|82271238|Soft Tissue|2013
0-19|1.0|1.1|1.1|885|Incidence|82271238|Soft Tissue|2013
0-14|0.2|0.3|0.2|141|Mortality|61078836|Acute Lymphocytic|2014
0-14|3.7|4.0|3.9|2371|Incidence|61078836|Acute Lymphocytic|2014
0-14|0.1|0.2|0.2|94|Mortality|61078836|Acute Myeloid|2014
0-14|0.7|0.8|0.7|449|Incidence|61078836|Acute Myeloid|2014
0-14|1.9|2.1|2.0|1225|Mortality|61078836|All Cancer Sites Combined|2014
0-14|17.3|18.0|17.7|10802|Incidence|61078836|All Cancer Sites Combined|2014
0-14|0.1|0.2|0.1|85|Mortality|61078836|Bones and Joints|2014
0-14|0.7|0.9|0.8|497|Incidence|61078836|Bones and Joints|2014
0-14|0.6|0.8|0.7|420|Mortality|61078836|Brain and Other Nervous System|2014
0-14|3.6|3.9|3.8|2309|Incidence|61078836|Brain and Other Nervous System|2014
0-14|~|~|~|~|Mortality|61078836|Hodgkin Lymphoma|2014
0-14|0.5|0.6|0.6|337|Incidence|61078836|Hodgkin Lymphoma|2014
0-14|0.0|0.1|0.0|24|Mortality|61078836|Kidney and Renal Pelvis|2014
0-14|0.9|1.0|0.9|575|Incidence|61078836|Kidney and Renal Pelvis|2014
0-14|0.4|0.5|0.5|296|Mortality|61078836|Leukemia|2014
0-14|4.8|5.2|5.0|3052|Incidence|61078836|Leukemia|2014
0-14|0.0|0.1|0.1|39|Mortality|61078836|Non-Hodgkin Lymphoma|2014
0-14|1.1|1.2|1.1|698|Incidence|61078836|Non-Hodgkin Lymphoma|2014
0-14|0.4|0.5|0.5|285|Mortality|61078836|Other|2014
0-14|4.2|4.5|4.4|2677|Incidence|61078836|Other|2014
0-14|0.1|0.2|0.1|76|Mortality|61078836|Soft Tissue|2014
0-14|1.0|1.2|1.1|657|Incidence|61078836|Soft Tissue|2014
0-19|0.2|0.3|0.3|207|Mortality|82139198|Acute Lymphocytic|2014
0-19|3.2|3.4|3.3|2724|Incidence|82139198|Acute Lymphocytic|2014
0-19|0.2|0.2|0.2|148|Mortality|82139198|Acute Myeloid|2014
0-19|0.7|0.9|0.8|660|Incidence|82139198|Acute Myeloid|2014
0-19|2.1|2.3|2.2|1837|Mortality|82139198|All Cancer Sites Combined|2014
